fid,per_dutch,per_west,per_nonwes,avg_woz,Dis_Bicy_1,Dis_Bowlin,Dis_Bowl_1,Dis_Cine_1,Dis_City_1,Dis_Doct_1,Dis_IceC_1,Dis_Libr_1,Dis_Mark_1,Dis_Metr_1,Dis_Park_1,Dis_Play_1,Dis_Scho_1,Dis_Supe_1,Dis_Swim_1,Dis_Tram_1,INDEX_WALK,num_inh_2,Foot_Criti,FMC_INDEX_FOOT_SLOW_Dis_Metro_pc,FMC_INDEX_FOOT_SLOW_Dis_Tram_pc,FMC_INDEX_FOOT_SLOW_DisBicycleShop_All.geojson_footslow — DisBicycleShop_All_pc,FMC_INDEX_FOOT_SLOW_DisBowling_All.geojson_footslow — DisBowling_All_pc,FMC_INDEX_FOOT_SLOW_DisCinema_All.geojson_footslow — DisCinema_All_pc,FMC_INDEX_FOOT_SLOW_DisCityOffice_All.geojson_footslow — DisCityOffice_All_pc,FMC_INDEX_FOOT_SLOW_DisDoctors_House_All.geojson_footslow — DisDoctors_House_All_pc,FMC_INDEX_FOOT_SLOW_DisIce_Cream_All.geojson_footslow — DisIce_Cream_All_pc,FMC_INDEX_FOOT_SLOW_DisLibraries_All.geojson_footslow — DisLibraries_All_pc,FMC_INDEX_FOOT_SLOW_DisMarkets_All.geojson_footslow — DisMarkets_All_pc,FMC_INDEX_FOOT_SLOW_DisPark_City_All.geojson_footslow — DisPark_City_All_pc,FMC_INDEX_FOOT_SLOW_DisPlaygrounds_All.geojson_footslow — DisPlaygrounds_All_pc,FMC_INDEX_FOOT_SLOW_DisSchools_Montesori_All.geojson_footslow — DisSchools_Montesori_All_pc,FMC_INDEX_FOOT_SLOW_DisSupermarket_All.geojson_footslow — DisSupermarket_All_pc,FMC_INDEX_FOOT_SLOW_DisSwimmingpool_Indoor_All.geojson_footslow — DisSwimmingpool_Indoor_All_pc,FMC_INDEX_FOOT_SLOW_IND_FOOTSLOW,FMC_INDEX_CYCLE_SLOW_Dis_BicycleShop_All.geojson_bikeslow — Dis_BicycleShop_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Bowling_All.geojson_bikeslow — Dis_Bowling_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Cinema_All.geojson_bikeslow — Dis_Cinema_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_CityOffice_All.geojson_bikeslow — Dis_CityOffice_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Doctors_House_All.geojson_bikeslow — Dis_Doctors_House_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Ice_Cream_All.geojson_bikeslow — Dis_Ice_Cream_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Libraries_All.geojson_bikeslow — Dis_Libraries_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Markets_All.geojson_bikeslow — Dis_Markets_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_MetroStops_All.geojson_bikeslow — Dis_MetroStops_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Park_City_All.geojson_bikeslow — Dis_Park_City_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Playgrounds_All.geojson_bikeslow — Dis_Playgrounds_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Schools_Montesori_All.geojson_bikeslow — Dis_Schools_Montesori_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Supermarket_All.geojson_bikeslow — Dis_Supermarket_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_Swimmingpool_Indoor_All.geojson_bikeslow — Dis_Swimmingpool_Indoor_All_pc,FMC_INDEX_CYCLE_SLOW_Dis_TramStops_All.geojson_bikeslow — Dis_TramStops_All_pc,FMC_INDEX_CYCLE_SLOW_INDEX_CY_SL,FMC_INDEX_CYCLE_DIS_BicycleShop_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Bowling_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Cinema_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_CityOffice_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Doctors_House_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Ice_Cream_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Libraries_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Markets_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_MetroStops_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Park_City_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Playgrounds_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Schools_Montesori_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Supermarket_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_Swimmingpool_Indoor_All.geojson_bike_pc,FMC_INDEX_CYCLE_DIS_TramStops_All.geojson_bike_pc,FMC_INDEX_CYCLE_FMC_IND_CYCLE,Zone-Grid2_ZONE
"125754","20","20","60","339",100,10004.0607515574,100,0,100,100,100,100,100,100,0,100,0,100,97.7390886716428,0,0.73,"35",0.667,100,0,100,0.0247056778726058,0,0,0,0,0,0,0,22.3426140184724,0,0,0,0.148244879797563,100,100,100,100,100,100,100,100,100,100,100,0,100,100,82.4987766539587,0.921665851102639,100,100,100,100,100,100,100,100,100,100,100,1.62696162884443,100,100,100,0.93441797441923,Outer
"125755","20","10","70","344",100,10004.0614837641,100,0,100,100,100,100,100,100,0,100,0,100,100,0,0.73,"115",0.667,100,0,100,0,0,0,0,0,0,0,0,0.756021931858322,0,0.524051233885126,0,0.134186715443829,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125756","40","-99997","60","22",100,0,0,0,100,100,100,100,100,100,100,100,0,100,100,0,0.73,"30",1,68.1666418181416,0,100,0,0,4.82639250429567,0,0,0,0,0,20.6961588086648,0,63.5961703578034,35.3949778553911,0.195120227562864,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125757","30","20","50","22",100,0,0,0,100,100,100,100,100,100,100,100,0,100,100,0,0.73,"80",1,0,0,100,0,0,17.8900895447221,0,0,0,0,0,5.19316618106543,0,100,50.1603685975101,0.182162416215532,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125758","10","10","80","410",100,0,0,0,100,100,0,100,100,100,100,15.7669033039706,0,100,100,0,0.61,"165",1,59.0154777282836,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0.306010318485522,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125759","-99997","-99997","100","407",100,0,0,0,100,100,0,100,100,100,100,18.852514676561,0,100,100,0,0.61,"45",1,100,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0.333333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125760","10","10","80","304",100,0,0,0,100,100,0,100,100,100,100,22.4607659061936,0,100,100,0,0.61,"95",1,100,0,59.2084509092435,0,0,0,100,0,73.58780304646,100,0,0,0,100,0,0.355197502637136,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125761","10","20","70","284",100,0,0,0,100,100,0,100,100,100,100,46.5649857649846,0,100,100,0,0.63,"60",1,100,0,61.1162690094051,0,0,0,100,0,100,100,0,0,0,100,0,0.374077512672937,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125762","10","30","50","273",100,0,0,0,100,100,0,100,100,100,100,98.9973464147359,0,100,100,0,0.67,"100",1,100,0,100,0,0,0,100,0,100,100,0,0,0,100,0,0.4,100,97.2096818577256,94.0322652791322,100,100,100,100,100,100,100,100,0,100,100,100,0.927494631424572,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125763","10","0","90","188",100,0,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0.67,"330",1,100,0,100,0,0,0,100,0,100,100,0,0,0,100,0,0.4,100,5.53780871660853,23.175358875972,100,100,100,100,100,100,100,100,0,100,100,100,0.819142111728387,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125764","10","10","80","183",100,0,0,0,54.0213873047555,100,0,100,100,100,100,100,0,100,100,0,0.64,"320",1,100,0,100,0,0,0,100,0,100,100,0,0,0,100,0,0.4,100,0,0.00131942570934742,100,100,100,100,100,100,100,100,0,100,100,100,0.80000087961714,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125765","10","10","70","287",100,0,0,0,0,100,0,100,100,100,100,100,0,100,88.3502253318699,0,0.59,"120",1,100,0,100,0,0,0,100,0,100,100,0,0,0,100,0,0.4,100,0,0,100,100,100,100,100,100,100,100,0,100,100,100,0.8,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125766","-99997","-99997","-99997","-99997",100,0,0,0,0,100,0,100,100,100,100,100,0,100,12.8997156448761,0,0.54,"15",1,100,0,100,0,0,0,100,0,100,100,0,0,0,100,0,0.4,100,0,0,100,100,100,100,100,100,100,100,0,100,100,100,0.8,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125767","20","10","70","263",100,0,0,0,0,100,0,100,100,100,100,100,0,100,0,0,0.53,"50",1,100,0,100,0,0,0,100,0,100,100,67.8232041530618,0,0,100,0,0.445215469435375,100,0,0,100,100,100,100,100,100,100,100,0,100,100,100,0.8,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125768","20","10","70","-99997",100,0,0,0,0,100,0,100,100,100,100,100,0,100,0,0,0.53,"60",1,100,0,100,0,0,0,100,0,100,100,100,0,0,100,0,0.466666666666667,100,0,0,100,100,65.2717918031905,100,100,100,100,100,0,100,100,100,0.776847861202127,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0.933333333333333,Outer
"125769","20","0","80","335",100,0,0,0,0,100,0,100,100,100,100,100,0,100,0,0,0.53,"165",1,100,0,100,0,0,0,100,0,100,100,100,0,0,100,0,0.466666666666667,100,0,0,100,100,42.9894355821436,100,100,100,100,100,0,100,100,100,0.761992957054762,100,65.8782501982058,100,100,100,100,100,100,100,100,100,0,100,100,100,0.910585500132137,Outer
"125770","10","10","80","349",100,0,0,0,0,100,0,100,100,100,100,100,0,100,0,0,0.53,"125",1,100,0,100,0,0,0,100,0,100,100,100,0,0,100,0,0.466666666666667,100,0,0,100,100,39.5504723280336,100,100,100,100,100,0,100,100,100,0.759700314885356,100,36.915396981257,100,100,100,100,100,100,100,100,100,0,100,100,100,0.891276931320838,Outer
