fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"120678",E1143N4841,"459","0.33"
"120410",E1143N4842,"569","0.33"
"120148",E1143N4843,"594","0.33"
"120679",E1144N4841,"601","0.33"
"120411",E1144N4842,"650","0.33"
"120149",E1144N4843,"477","0.33"
"120412",E1145N4842,"653","0.33"
"120150",E1145N4843,"563","0.33"
"120681",E1147N4841,"562","0.33"
"120413",E1147N4842,"450","0.33"
"117939",E1124N4851,"294","0.07"
"117299",E1121N4853,"297","0.00"
"116984",E1120N4854,"289","0.00"
"116673",E1119N4855,"341","0.00"
"119084",E1130N4847,"325","0.20"
"119085",E1131N4847,"310","0.26"
"119351",E1132N4846,"350","0.27"
"119086",E1132N4847,"554","0.27"
"119087",E1133N4847,"510","0.27"
"119617",E1133N4845,"389","0.27"
"119088",E1134N4847,"517","0.27"
"119352",E1134N4846,"564","0.27"
"119884",E1135N4844,"379","0.31"
"119089",E1135N4847,"471","0.33"
"119353",E1135N4846,"507","0.31"
"119619",E1135N4845,"649","0.30"
"119090",E1136N4847,"487","0.33"
"119354",E1136N4846,"605","0.33"
"119620",E1136N4845,"509","0.33"
"119091",E1137N4847,"463","0.33"
"119355",E1137N4846,"435","0.33"
"119621",E1137N4845,"495","0.33"
"119885",E1138N4844,"525","0.33"
"119092",E1138N4847,"435","0.34"
"119356",E1138N4846,"546","0.33"
"119622",E1138N4845,"338","0.33"
"119886",E1139N4844,"422","0.33"
"119093",E1139N4847,"353","0.35"
"119357",E1139N4846,"449","0.33"
"119623",E1139N4845,"416","0.33"
"119887",E1140N4844,"455","0.33"
"119624",E1140N4845,"419","0.33"
"119358",E1140N4846,"492","0.33"
"119888",E1141N4844,"478","0.33"
"119625",E1141N4845,"411","0.33"
"119359",E1141N4846,"464","0.36"
"119889",E1142N4844,"808","0.33"
"119626",E1142N4845,"523","0.34"
"119890",E1143N4844,"545","0.33"
"119627",E1143N4845,"767","0.39"
"119891",E1144N4844,"443","0.35"
"119628",E1144N4845,"507","0.48"
"119892",E1145N4844,"485","0.39"
"119629",E1145N4845,"473","0.53"
"119893",E1146N4844,"396","0.45"
"119630",E1146N4845,"550","0.53"
"117311",E1142N4853,"171","0.53"
"116994",E1142N4854,"174","0.56"
"117312",E1143N4853,"208","0.57"
"116995",E1143N4854,"212","0.60"
"117313",E1144N4853,"387","0.63"
"116996",E1144N4854,"330","0.66"
"117954",E1145N4851,"259","0.64"
"117631",E1145N4852,"295","0.72"
"117314",E1145N4853,"347","0.73"
"117955",E1146N4851,"339","0.73"
"117632",E1146N4852,"227","0.73"
"117315",E1146N4853,"356","0.73"
"117956",E1147N4851,"413","0.73"
"117633",E1147N4852,"238","0.73"
"117316",E1147N4853,"282","0.73"
"117957",E1148N4851,"406","0.73"
"117634",E1148N4852,"234","0.73"
"117317",E1148N4853,"305","0.73"
"118257",E1145N4850,"367","0.58"
"118258",E1146N4850,"409","0.65"
"118259",E1147N4850,"358","0.72"
"118260",E1148N4850,"336","0.73"
"117953",E1142N4851,"252","0.53"
"118256",E1142N4850,"318","0.53"
"118561",E1146N4849,"340","0.58"
"118562",E1147N4849,"331","0.61"
"118563",E1148N4849,"332","0.67"
"118831",E1146N4848,"296","0.53"
"118832",E1147N4848,"278","0.55"
"118833",E1148N4848,"320","0.59"
"119098",E1148N4847,"343","0.54"
"119360",E1142N4846,"508","0.43"
"119361",E1143N4846,"660","0.52"
"119362",E1144N4846,"777","0.53"
"119363",E1145N4846,"839","0.53"
"119364",E1146N4846,"262","0.53"
"118823",E1137N4848,"345","0.36"
"118554",E1137N4849,"301","0.40"
"118824",E1138N4848,"304","0.39"
"118555",E1138N4849,"299","0.41"
"118825",E1139N4848,"365","0.45"
"118556",E1139N4849,"361","0.50"
"118826",E1140N4848,"459","0.50"
"118557",E1140N4849,"385","0.53"
"119094",E1141N4847,"434","0.47"
"118558",E1141N4849,"500","0.53"
"119095",E1142N4847,"421","0.53"
"118828",E1142N4848,"380","0.53"
"118559",E1142N4849,"414","0.53"
"119096",E1143N4847,"515","0.53"
"118829",E1143N4848,"351","0.53"
"118560",E1143N4849,"312","0.53"
"119097",E1144N4847,"1091","0.53"
"118570",E1155N4849,"614","0.68"
"118569",E1154N4849,"326","0.73"
"119103",E1156N4847,"457","0.67"
"119102",E1155N4847,"474","0.66"
"119101",E1154N4847,"539","0.63"
"119370",E1156N4846,"443","0.62"
"119369",E1155N4846,"394","0.59"
"119368",E1154N4846,"418","0.58"
"119637",E1156N4845,"417","0.40"
"119636",E1155N4845,"388","0.48"
"119635",E1154N4845,"426","0.53"
"119900",E1156N4844,"370","0.30"
"119899",E1155N4844,"380","0.46"
"119898",E1154N4844,"331","0.53"
"120158",E1156N4843,"353","0.33"
"120157",E1155N4843,"394","0.39"
"120156",E1154N4843,"333","0.49"
"118245",E1131N4850,"479","0.27"
"117942",E1131N4851,"456","0.27"
"117618",E1131N4852,"384","0.27"
"117300",E1131N4853,"362","0.26"
"118548",E1131N4849,"412","0.26"
"118817",E1131N4848,"499","0.26"
"118818",E1132N4848,"432","0.27"
"118549",E1132N4849,"459","0.27"
"118246",E1132N4850,"476","0.27"
"117301",E1132N4853,"399","0.27"
"117619",E1132N4852,"283","0.27"
"117943",E1132N4851,"460","0.27"
"118819",E1133N4848,"387","0.27"
"118550",E1133N4849,"389","0.27"
"118247",E1133N4850,"500","0.27"
"117620",E1133N4852,"310","0.27"
"117944",E1133N4851,"286","0.27"
"118820",E1134N4848,"606","0.27"
"118551",E1134N4849,"528","0.27"
"118248",E1134N4850,"319","0.27"
"117621",E1134N4852,"319","0.27"
"117945",E1134N4851,"288","0.27"
"118821",E1135N4848,"449","0.32"
"118552",E1135N4849,"472","0.32"
"118249",E1135N4850,"370","0.31"
"117622",E1135N4852,"298","0.33"
"117946",E1135N4851,"315","0.32"
"118822",E1136N4848,"431","0.33"
"118553",E1136N4849,"322","0.36"
"118250",E1136N4850,"344","0.39"
"117305",E1136N4853,"373","0.39"
"117623",E1136N4852,"409","0.40"
"117947",E1136N4851,"445","0.40"
"117617",E1130N4852,"564","0.21"
"117941",E1130N4851,"443","0.21"
"118244",E1130N4850,"413","0.20"
"118547",E1130N4849,"467","0.19"
"118816",E1129N4848,"335","0.13"
"118243",E1129N4850,"493","0.14"
"118242",E1126N4850,"261","0.07"
"117948",E1137N4851,"325","0.40"
"117624",E1137N4852,"520","0.40"
"118251",E1137N4850,"329","0.40"
"117949",E1138N4851,"345","0.43"
"117625",E1138N4852,"405","0.44"
"118252",E1138N4850,"362","0.42"
"117950",E1139N4851,"424","0.53"
"117626",E1139N4852,"141","0.53"
"118253",E1139N4850,"319","0.52"
"117951",E1140N4851,"464","0.53"
"117627",E1140N4852,"206","0.53"
"118254",E1140N4850,"448","0.53"
"117952",E1141N4851,"404","0.53"
"117628",E1141N4852,"429","0.53"
"118255",E1141N4850,"408","0.53"
"117629",E1142N4852,"206","0.53"
"117630",E1143N4852,"209","0.53"
"117958",E1149N4851,"363","0.73"
"117959",E1150N4851,"205","0.73"
"117961",E1152N4851,"408","0.73"
"117962",E1153N4851,"345","0.73"
"117635",E1149N4852,"255","0.73"
"117636",E1151N4852,"494","0.73"
"117637",E1152N4852,"384","0.73"
"117638",E1153N4852,"395","0.73"
"117318",E1149N4853,"172","0.73"
"117320",E1151N4853,"269","0.73"
"117321",E1152N4853,"322","0.73"
"117322",E1153N4853,"465","0.73"
"117001",E1151N4854,"381","0.73"
"117002",E1152N4854,"278","0.73"
"117003",E1153N4854,"242","0.73"
"116688",E1150N4855,"390","0.73"
"116689",E1151N4855,"354","0.73"
"116690",E1152N4855,"539","0.73"
"116691",E1153N4855,"328","0.73"
"116376",E1150N4856,"252","0.73"
"116377",E1151N4856,"238","0.73"
"116378",E1152N4856,"303","0.73"
"116379",E1153N4856,"201","0.73"
"116091",E1151N4857,"258","0.73"
"116090",E1150N4857,"250","0.73"
"116089",E1149N4857,"198","0.73"
"116092",E1152N4857,"263","0.73"
"116093",E1153N4857,"214","0.73"
"116364",E1135N4856,"331","0.31"
"116988",E1136N4854,"349","0.35"
"116676",E1136N4855,"385","0.33"
"116365",E1136N4856,"342","0.34"
"116077",E1136N4857,"340","0.35"
"117306",E1137N4853,"467","0.40"
"115780",E1137N4858,"328","0.40"
"116078",E1137N4857,"344","0.40"
"116366",E1137N4856,"369","0.39"
"116677",E1137N4855,"371","0.37"
"116989",E1137N4854,"373","0.40"
"117307",E1138N4853,"329","0.44"
"116079",E1138N4857,"232","0.40"
"116367",E1138N4856,"340","0.41"
"116678",E1138N4855,"339","0.42"
"116990",E1138N4854,"307","0.43"
"117308",E1139N4853,"248","0.53"
"115782",E1139N4858,"284","0.43"
"116080",E1139N4857,"242","0.46"
"116368",E1139N4856,"349","0.47"
"116679",E1139N4855,"316","0.47"
"116991",E1139N4854,"305","0.50"
"115783",E1140N4858,"391","0.47"
"116081",E1140N4857,"327","0.47"
"116369",E1140N4856,"181","0.50"
"116680",E1140N4855,"301","0.53"
"116992",E1140N4854,"275","0.53"
"117310",E1141N4853,"416","0.53"
"116993",E1141N4854,"300","0.53"
"115784",E1141N4858,"213","0.50"
"116681",E1141N4855,"180","0.53"
"116675",E1135N4855,"350","0.33"
"116987",E1135N4854,"429","0.33"
"116674",E1134N4855,"429","0.27"
"116986",E1134N4854,"431","0.27"
"116985",E1133N4854,"374","0.27"
"117304",E1135N4853,"361","0.32"
"117303",E1134N4853,"329","0.27"
"117302",E1133N4853,"348","0.27"
"116682",E1142N4855,"211","0.57"
"116683",E1144N4855,"303","0.67"
"116684",E1145N4855,"255","0.70"
"116685",E1146N4855,"279","0.73"
"116686",E1147N4855,"278","0.73"
"116687",E1148N4855,"287","0.73"
"116370",E1142N4856,"210","0.54"
"116371",E1143N4856,"196","0.60"
"116372",E1144N4856,"230","0.66"
"116373",E1145N4856,"223","0.68"
"116374",E1146N4856,"198","0.73"
"116375",E1147N4856,"240","0.73"
"116082",E1142N4857,"214","0.53"
"116083",E1143N4857,"208","0.58"
"116084",E1144N4857,"202","0.65"
"116085",E1145N4857,"206","0.67"
"116086",E1146N4857,"199","0.72"
"116087",E1147N4857,"220","0.73"
"116088",E1148N4857,"347","0.73"
"116997",E1146N4854,"301","0.73"
"116998",E1147N4854,"281","0.73"
"116999",E1148N4854,"341","0.73"
"114848",E1140N4861,"148","0.40"
"113597",E1140N4865,"382","0.33"
"113318",E1139N4866,"656","0.18"
"113033",E1138N4867,"506","0.08"
"115790",E1148N4858,"504","0.73"
"115789",E1147N4858,"296","0.73"
"115788",E1146N4858,"209","0.70"
"115787",E1145N4858,"205","0.67"
"115786",E1144N4858,"226","0.62"
"115785",E1143N4858,"279","0.55"
"115482",E1148N4859,"187","0.73"
"115480",E1145N4859,"396","0.66"
"115479",E1144N4859,"364","0.59"
"115478",E1143N4859,"288","0.53"
"115477",E1142N4859,"315","0.53"
"115171",E1142N4860,"305","0.51"
"115177",E1148N4860,"153","0.73"
"115176",E1147N4860,"516","0.73"
"115175",E1146N4860,"353","0.73"
"115174",E1145N4860,"305","0.64"
"115173",E1144N4860,"167","0.56"
"115172",E1143N4860,"191","0.53"
"114849",E1142N4861,"347","0.48"
"114855",E1148N4861,"240","0.73"
"114854",E1147N4861,"130","0.73"
"114853",E1146N4861,"266","0.72"
"114852",E1145N4861,"428","0.66"
"114851",E1144N4861,"167","0.54"
"114850",E1143N4861,"173","0.53"
"114549",E1148N4862,"236","0.73"
"114548",E1147N4862,"236","0.73"
"114547",E1146N4862,"206","0.69"
"114546",E1145N4862,"454","0.64"
"114545",E1144N4862,"177","0.56"
"114544",E1143N4862,"177","0.51"
"115794",E1153N4858,"277","0.73"
"115793",E1151N4858,"286","0.73"
"115792",E1150N4858,"264","0.73"
"115791",E1149N4858,"212","0.73"
"115486",E1153N4859,"236","0.73"
"115485",E1151N4859,"224","0.73"
"115484",E1150N4859,"201","0.73"
"115483",E1149N4859,"218","0.73"
"115181",E1152N4860,"199","0.73"
"115180",E1151N4860,"221","0.73"
"115179",E1150N4860,"212","0.73"
"115178",E1149N4860,"232","0.73"
"114859",E1152N4861,"238","0.73"
"114858",E1151N4861,"204","0.73"
"114857",E1150N4861,"204","0.73"
"114856",E1149N4861,"234","0.73"
"114552",E1152N4862,"222","0.73"
"114551",E1150N4862,"292","0.73"
"114550",E1149N4862,"281","0.73"
"114239",E1153N4863,"402","0.77"
"114238",E1152N4863,"379","0.76"
"114237",E1151N4863,"210","0.73"
"114235",E1149N4863,"241","0.73"
"113911",E1153N4864,"441","0.73"
"113910",E1152N4864,"445","0.74"
"113909",E1151N4864,"214","0.72"
"113908",E1150N4864,"221","0.73"
"113907",E1149N4864,"215","0.73"
"113602",E1152N4865,"387","0.67"
"113601",E1151N4865,"252","0.72"
"114234",E1148N4863,"226","0.73"
"114233",E1147N4863,"250","0.72"
"114232",E1146N4863,"220","0.66"
"114231",E1145N4863,"311","0.61"
"114230",E1144N4863,"223","0.58"
"114229",E1143N4863,"177","0.47"
"113905",E1147N4864,"211","0.69"
"113906",E1148N4864,"208","0.73"
"111073",E1148N4874,"367","0.40"
"110758",E1145N4875,"462","0.40"
"110759",E1146N4875,"330","0.40"
"110760",E1147N4875,"338","0.40"
"110761",E1148N4875,"324","0.40"
"110442",E1145N4876,"287","0.40"
"110443",E1146N4876,"303","0.40"
"110444",E1147N4876,"471","0.40"
"110445",E1148N4876,"355","0.40"
"112762",E1137N4868,"335","0.04"
"111367",E1133N4873,"820","0.07"
"111072",E1132N4874,"439","0.07"
"110757",E1131N4875,"448","0.07"
"110756",E1130N4875,"420","0.07"
"110441",E1130N4876,"585","0.07"
"110124",E1149N4877,"248","0.40"
"110125",E1150N4877,"220","0.40"
"110126",E1151N4877,"283","0.40"
"110127",E1152N4877,"227","0.43"
"110128",E1153N4877,"225","0.47"
"109816",E1149N4878,"263","0.40"
"109817",E1150N4878,"235","0.40"
"109818",E1151N4878,"301","0.40"
"109819",E1152N4878,"322","0.46"
"109820",E1153N4878,"297","0.47"
"109508",E1149N4879,"265","0.40"
"109509",E1150N4879,"286","0.40"
"109510",E1151N4879,"314","0.41"
"109511",E1152N4879,"271","0.47"
"109512",E1153N4879,"256","0.47"
"109209",E1149N4880,"256","0.40"
"109210",E1150N4880,"318","0.40"
"109211",E1151N4880,"349","0.40"
"109212",E1152N4880,"254","0.46"
"109213",E1153N4880,"276","0.47"
"108890",E1149N4881,"315","0.40"
"108891",E1150N4881,"330","0.40"
"108892",E1151N4881,"358","0.40"
"108894",E1153N4881,"544","0.47"
"108560",E1149N4882,"245","0.40"
"108561",E1150N4882,"252","0.40"
"108562",E1151N4882,"359","0.40"
"108563",E1152N4882,"316","0.45"
"108564",E1153N4882,"336","0.47"
"108218",E1149N4883,"246","0.40"
"108219",E1150N4883,"249","0.40"
"108220",E1151N4883,"321","0.40"
"108222",E1153N4883,"367","0.47"
"110450",E1153N4876,"267","0.51"
"110449",E1152N4876,"249","0.40"
"110448",E1151N4876,"248","0.40"
"110447",E1150N4876,"305","0.40"
"110446",E1149N4876,"402","0.40"
"110766",E1153N4875,"223","0.49"
"110765",E1152N4875,"219","0.43"
"110764",E1151N4875,"253","0.40"
"110763",E1150N4875,"507","0.40"
"110762",E1149N4875,"360","0.40"
"111078",E1153N4874,"295","0.47"
"111077",E1152N4874,"275","0.45"
"111076",E1151N4874,"267","0.40"
"111075",E1150N4874,"471","0.40"
"109810",E1120N4878,"339","0.00"
"110438",E1121N4876,"313","0.00"
"110753",E1121N4875,"311","0.00"
"111070",E1121N4874,"329","0.00"
"111071",E1123N4874,"670","0.00"
"110123",E1148N4877,"298","0.40"
"110122",E1147N4877,"316","0.40"
"110121",E1146N4877,"334","0.40"
"109815",E1148N4878,"256","0.40"
"109814",E1147N4878,"299","0.40"
"109813",E1146N4878,"320","0.40"
"109507",E1148N4879,"278","0.40"
"109506",E1147N4879,"297","0.40"
"109505",E1146N4879,"338","0.40"
"109504",E1144N4879,"329","0.40"
"109503",E1143N4879,"298","0.40"
"109208",E1148N4880,"273","0.40"
"109207",E1147N4880,"299","0.40"
"109206",E1146N4880,"305","0.40"
"109205",E1145N4880,"440","0.40"
"109204",E1144N4880,"404","0.40"
"109203",E1143N4880,"384","0.40"
"108889",E1148N4881,"358","0.40"
"108888",E1147N4881,"364","0.40"
"108887",E1146N4881,"521","0.40"
"108886",E1145N4881,"332","0.40"
"108885",E1144N4881,"420","0.40"
"108884",E1143N4881,"406","0.40"
"108559",E1148N4882,"274","0.40"
"108558",E1147N4882,"285","0.40"
"108557",E1146N4882,"275","0.40"
"108555",E1144N4882,"460","0.40"
"108554",E1143N4882,"400","0.40"
"108217",E1148N4883,"288","0.40"
"108216",E1147N4883,"294","0.40"
"108215",E1146N4883,"351","0.40"
"108214",E1145N4883,"368","0.40"
"108213",E1144N4883,"362","0.40"
"108212",E1143N4883,"299","0.40"
"109202",E1142N4880,"405","0.40"
"108208",E1122N4883,"596","0.00"
"108551",E1123N4882,"496","0.00"
"108882",E1124N4881,"571","0.02"
"109501",E1126N4879,"592","0.07"
"109201",E1126N4880,"807","0.07"
"108883",E1125N4881,"497","0.07"
"109200",E1125N4880,"782","0.07"
"119638",E1157N4845,"385","0.39"
"119639",E1158N4845,"450","0.39"
"119640",E1159N4845,"378","0.39"
"119641",E1160N4845,"343","0.46"
"119642",E1161N4845,"378","0.60"
"119643",E1162N4845,"421","0.61"
"119371",E1157N4846,"388","0.60"
"119372",E1158N4846,"435","0.55"
"119373",E1159N4846,"372","0.47"
"119374",E1160N4846,"341","0.52"
"119375",E1161N4846,"380","0.60"
"119376",E1162N4846,"406","0.66"
"119104",E1157N4847,"387","0.63"
"119105",E1158N4847,"431","0.65"
"119106",E1159N4847,"390","0.62"
"119107",E1160N4847,"369","0.62"
"119108",E1161N4847,"350","0.66"
"119109",E1162N4847,"403","0.67"
"118838",E1157N4848,"422","0.71"
"118839",E1158N4848,"468","0.69"
"118840",E1159N4848,"441","0.73"
"118841",E1160N4848,"453","0.78"
"118842",E1161N4848,"442","0.68"
"118843",E1162N4848,"479","0.67"
"118573",E1161N4849,"1355","0.76"
"118269",E1157N4850,"533","0.73"
"118271",E1159N4850,"499","0.74"
"118272",E1160N4850,"895","0.80"
"118273",E1161N4850,"923","0.80"
"119644",E1163N4845,"425","0.66"
"119377",E1163N4846,"445","0.67"
"119110",E1163N4847,"434","0.67"
"118844",E1163N4848,"505","0.67"
"118276",E1165N4850,"511","0.67"
"117971",E1164N4851,"519","0.67"
"117972",E1165N4851,"413","0.67"
"117647",E1163N4852,"501","0.73"
"117648",E1164N4852,"337","0.67"
"117649",E1165N4852,"301","0.67"
"117331",E1163N4853,"457","0.80"
"117332",E1164N4853,"302","0.70"
"117333",E1165N4853,"354","0.67"
"117012",E1164N4854,"295","0.79"
"116697",E1163N4855,"282","0.79"
"116698",E1164N4855,"269","0.80"
"116699",E1165N4855,"287","0.74"
"116384",E1163N4856,"279","0.76"
"116385",E1164N4856,"283","0.76"
"116386",E1165N4856,"272","0.75"
"116096",E1164N4857,"308","0.68"
"116097",E1165N4857,"274","0.71"
"115798",E1165N4858,"279","0.65"
"115489",E1164N4859,"545","0.67"
"115490",E1165N4859,"224","0.62"
"115182",E1164N4860,"564","0.61"
"115183",E1165N4860,"465","0.60"
"114862",E1165N4861,"500","0.60"
"119381",E1171N4846,"434","0.67"
"119382",E1172N4846,"494","0.64"
"119383",E1173N4846,"262","0.60"
"119384",E1174N4846,"238","0.60"
"119385",E1175N4846,"281","0.55"
"119386",E1176N4846,"377","0.48"
"119388",E1178N4846,"308","0.48"
"119389",E1179N4846,"315","0.56"
"119390",E1180N4846,"300","0.60"
"119391",E1181N4846,"416","0.59"
"119392",E1182N4846,"413","0.59"
"119393",E1183N4846,"430","0.60"
"119394",E1184N4846,"458","0.67"
"119396",E1188N4846,"453","0.60"
"119397",E1189N4846,"408","0.60"
"119398",E1190N4846,"424","0.60"
"119399",E1191N4846,"360","0.60"
"119400",E1192N4846,"398","0.64"
"119401",E1193N4846,"460","0.64"
"119402",E1194N4846,"463","0.67"
"119403",E1195N4846,"1235","0.67"
"119404",E1196N4846,"1266","0.61"
"119405",E1197N4846,"1261","0.62"
"119406",E1198N4846,"1059","0.65"
"119407",E1199N4846,"1127","0.67"
"119408",E1200N4846,"1162","0.69"
"119409",E1201N4846,"1229","0.68"
"119410",E1202N4846,"701","0.79"
"119411",E1203N4846,"881","0.91"
"119412",E1204N4846,"1725","0.93"
"119380",E1170N4846,"392","0.67"
"119379",E1169N4846,"380","0.67"
"119378",E1168N4846,"374","0.67"
"119113",E1170N4847,"294","0.67"
"119115",E1172N4847,"403","0.67"
"119116",E1173N4847,"290","0.64"
"119117",E1174N4847,"234","0.60"
"119118",E1175N4847,"296","0.60"
"119119",E1176N4847,"193","0.57"
"119120",E1177N4847,"265","0.49"
"119121",E1180N4847,"313","0.60"
"119122",E1181N4847,"429","0.62"
"119123",E1182N4847,"403","0.61"
"119124",E1183N4847,"359","0.62"
"119125",E1184N4847,"455","0.67"
"119126",E1185N4847,"443","0.64"
"119127",E1186N4847,"422","0.55"
"119128",E1187N4847,"385","0.53"
"119129",E1189N4847,"382","0.59"
"119130",E1190N4847,"455","0.60"
"119131",E1191N4847,"453","0.57"
"119132",E1192N4847,"649","0.60"
"119133",E1193N4847,"688","0.60"
"119134",E1194N4847,"567","0.62"
"119135",E1195N4847,"1118","0.66"
"119136",E1196N4847,"1112","0.66"
"119137",E1197N4847,"1231","0.67"
"119138",E1198N4847,"1337","0.67"
"119139",E1199N4847,"1141","0.68"
"119140",E1200N4847,"1735","0.73"
"119141",E1201N4847,"1438","0.78"
"119142",E1202N4847,"1028","0.92"
"119143",E1203N4847,"1328","0.93"
"119144",E1204N4847,"1180","0.93"
"119145",E1205N4847,"1112","0.93"
"119146",E1206N4847,"2486","0.93"
"119147",E1207N4847,"1058","0.93"
"119112",E1169N4847,"298","0.67"
"118847",E1170N4848,"416","0.67"
"118848",E1171N4848,"311","0.67"
"118849",E1172N4848,"457","0.67"
"118850",E1173N4848,"326","0.67"
"118851",E1174N4848,"237","0.62"
"118852",E1175N4848,"494","0.60"
"118853",E1176N4848,"330","0.63"
"118854",E1177N4848,"325","0.60"
"118855",E1179N4848,"201","0.60"
"118856",E1180N4848,"192","0.60"
"118857",E1181N4848,"443","0.65"
"118858",E1182N4848,"403","0.65"
"118859",E1183N4848,"382","0.66"
"118860",E1184N4848,"551","0.67"
"118861",E1185N4848,"556","0.67"
"118862",E1186N4848,"373","0.57"
"118863",E1187N4848,"451","0.53"
"118864",E1188N4848,"502","0.53"
"118865",E1189N4848,"765","0.54"
"118866",E1190N4848,"457","0.54"
"118867",E1191N4848,"475","0.53"
"118868",E1192N4848,"777","0.59"
"118869",E1193N4848,"1210","0.60"
"118870",E1195N4848,"1728","0.60"
"118871",E1196N4848,"1433","0.64"
"118872",E1197N4848,"1393","0.67"
"118846",E1169N4848,"368","0.67"
"118845",E1168N4848,"381","0.67"
"118579",E1175N4849,"351","0.60"
"118580",E1176N4849,"394","0.63"
"118581",E1177N4849,"311","0.63"
"118582",E1180N4849,"515","0.61"
"118583",E1181N4849,"398","0.67"
"118584",E1182N4849,"404","0.68"
"118585",E1183N4849,"397","0.67"
"118586",E1184N4849,"394","0.67"
"118587",E1185N4849,"444","0.67"
"118588",E1186N4849,"423","0.60"
"118589",E1187N4849,"444","0.59"
"118590",E1188N4849,"527","0.58"
"118591",E1189N4849,"879","0.53"
"118592",E1190N4849,"802","0.53"
"118593",E1191N4849,"752","0.53"
"118594",E1192N4849,"649","0.57"
"118595",E1193N4849,"1048","0.60"
"118596",E1194N4849,"1483","0.60"
"118597",E1195N4849,"2728","0.60"
"118299",E1196N4850,"2601","0.60"
"118298",E1195N4850,"1143","0.60"
"118297",E1194N4850,"1309","0.60"
"118296",E1193N4850,"1652","0.60"
"118295",E1192N4850,"835","0.54"
"118294",E1191N4850,"911","0.53"
"118293",E1190N4850,"889","0.53"
"118292",E1189N4850,"1116","0.58"
"118291",E1188N4850,"599","0.60"
"118290",E1187N4850,"459","0.60"
"118289",E1186N4850,"439","0.61"
"118288",E1185N4850,"487","0.67"
"118287",E1184N4850,"477","0.67"
"118286",E1183N4850,"494","0.69"
"118285",E1182N4850,"403","0.66"
"118284",E1181N4850,"438","0.67"
"118283",E1174N4850,"422","0.65"
"118282",E1172N4850,"135","0.67"
"118578",E1171N4849,"269","0.67"
"118281",E1170N4850,"186","0.67"
"118577",E1170N4849,"376","0.67"
"118278",E1167N4850,"168","0.67"
"118277",E1166N4850,"557","0.67"
"118575",E1168N4849,"398","0.67"
"118279",E1168N4850,"169","0.67"
"118280",E1169N4850,"186","0.67"
"118576",E1169N4849,"367","0.67"
"118266",E1154N4850,"337","0.73"
"118267",E1155N4850,"483","0.71"
"118268",E1156N4850,"281","0.73"
"117963",E1154N4851,"357","0.73"
"117964",E1155N4851,"404","0.73"
"117965",E1156N4851,"261","0.73"
"117640",E1155N4852,"200","0.73"
"117641",E1156N4852,"252","0.73"
"117324",E1155N4853,"236","0.73"
"117325",E1156N4853,"192","0.73"
"117004",E1154N4854,"233","0.73"
"117005",E1155N4854,"225","0.73"
"117006",E1156N4854,"611","0.73"
"116692",E1154N4855,"225","0.73"
"116693",E1155N4855,"229","0.73"
"116380",E1154N4856,"246","0.73"
"116381",E1155N4856,"283","0.73"
"116094",E1154N4857,"190","0.73"
"115795",E1154N4858,"316","0.73"
"115487",E1154N4859,"358","0.73"
"114860",E1155N4861,"292","0.78"
"114861",E1156N4861,"293","0.78"
"114553",E1154N4862,"252","0.80"
"114554",E1155N4862,"275","0.78"
"114555",E1156N4862,"292","0.74"
"114240",E1154N4863,"134","0.75"
"114241",E1155N4863,"449","0.73"
"114242",E1156N4863,"457","0.65"
"113912",E1154N4864,"319","0.69"
"113913",E1155N4864,"336","0.62"
"113603",E1155N4865,"425","0.60"
"113323",E1155N4866,"421","0.60"
"117991",E1186N4851,"398","0.60"
"117992",E1187N4851,"443","0.60"
"117993",E1188N4851,"769","0.60"
"117996",E1191N4851,"1419","0.53"
"117997",E1192N4851,"1014","0.53"
"117998",E1193N4851,"1022","0.58"
"117999",E1194N4851,"991","0.60"
"118000",E1195N4851,"1180","0.60"
"118001",E1196N4851,"1236","0.60"
"118002",E1197N4851,"1420","0.60"
"118003",E1198N4851,"2464","0.67"
"118004",E1199N4851,"2411","0.73"
"118005",E1200N4851,"1897","0.82"
"118006",E1201N4851,"921","0.87"
"118007",E1202N4851,"1074","0.93"
"117990",E1185N4851,"472","0.68"
"117989",E1184N4851,"430","0.73"
"117988",E1183N4851,"509","0.69"
"117987",E1182N4851,"451","0.67"
"117986",E1181N4851,"408","0.67"
"117984",E1178N4851,"195","0.60"
"117983",E1177N4851,"242","0.66"
"117982",E1176N4851,"445","0.63"
"117981",E1175N4851,"444","0.60"
"117980",E1174N4851,"420","0.68"
"117979",E1172N4851,"136","0.69"
"117978",E1171N4851,"353","0.68"
"117977",E1170N4851,"320","0.67"
"117974",E1167N4851,"330","0.67"
"117973",E1166N4851,"302","0.67"
"117976",E1169N4851,"315","0.67"
"117975",E1168N4851,"295","0.67"
"117966",E1157N4851,"520","0.73"
"117967",E1158N4851,"322","0.73"
"117968",E1159N4851,"314","0.73"
"117969",E1160N4851,"371","0.77"
"117970",E1161N4851,"689","0.80"
"117642",E1157N4852,"332","0.73"
"117643",E1158N4852,"310","0.73"
"117644",E1159N4852,"291","0.73"
"117645",E1160N4852,"248","0.73"
"117646",E1161N4852,"234","0.78"
"117326",E1157N4853,"370","0.73"
"117327",E1158N4853,"223","0.73"
"117328",E1159N4853,"290","0.73"
"117329",E1160N4853,"268","0.73"
"117330",E1161N4853,"284","0.75"
