fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"116146",E1240N4857,"469","0.93"
"116147",E1241N4857,"481","0.93"
"116148",E1242N4857,"351","0.93"
"116149",E1243N4857,"404","0.93"
"116150",E1244N4857,"368","0.93"
"116151",E1245N4857,"363","0.93"
"116152",E1246N4857,"426","0.93"
"116153",E1247N4857,"403","0.91"
"116154",E1248N4857,"477","0.75"
"118633",E1234N4849,"412","0.90"
"118632",E1233N4849,"380","0.87"
"118630",E1231N4849,"388","0.93"
"118629",E1230N4849,"362","0.93"
"118628",E1229N4849,"390","0.91"
"118627",E1228N4849,"402","0.86"
"118626",E1227N4849,"684","0.80"
"118625",E1226N4849,"555","0.77"
"118622",E1223N4849,"386","0.80"
"118621",E1222N4849,"353","0.80"
"118620",E1221N4849,"371","0.82"
"118619",E1220N4849,"380","0.87"
"118618",E1219N4849,"417","0.87"
"118617",E1218N4849,"419","0.87"
"118616",E1217N4849,"479","0.87"
"118615",E1216N4849,"450","0.92"
"118614",E1215N4849,"439","0.93"
"118613",E1214N4849,"472","0.93"
"118612",E1213N4849,"480","0.93"
"118611",E1212N4849,"416","0.93"
"118610",E1211N4849,"442","0.93"
"118609",E1210N4849,"413","0.93"
"118608",E1209N4849,"408","0.93"
"118607",E1208N4849,"670","0.93"
"118606",E1207N4849,"691","0.93"
"118605",E1206N4849,"736","0.93"
"118604",E1205N4849,"661","0.93"
"118603",E1204N4849,"596","0.93"
"118602",E1203N4849,"1673","0.93"
"118634",E1235N4849,"454","0.94"
"118635",E1236N4849,"465","0.95"
"118636",E1241N4849,"701","0.80"
"118637",E1242N4849,"749","0.80"
"118638",E1243N4849,"611","0.78"
"118639",E1244N4849,"641","0.75"
"118640",E1245N4849,"642","0.70"
"118641",E1246N4849,"452","0.62"
"118642",E1247N4849,"391","0.60"
"118643",E1248N4849,"403","0.60"
"118644",E1249N4849,"384","0.57"
"118645",E1250N4849,"70","0.53"
"118301",E1201N4850,"1204","0.88"
"118302",E1202N4850,"1151","0.93"
"118303",E1203N4850,"559","0.93"
