fid,crs28992re,num_social,INDEX_WALK
"118306",E1206N4850,"55","0.93"
"118307",E1207N4850,"10","0.93"
"118308",E1208N4850,"5","0.93"
"118309",E1209N4850,"15","0.93"
"118310",E1210N4850,"50","0.93"
"118311",E1211N4850,"30","0.93"
"118312",E1212N4850,"35","0.93"
"118313",E1213N4850,"60","0.93"
"118314",E1214N4850,"40","0.93"
"118315",E1215N4850,"45","0.93"
"118316",E1216N4850,"45","0.93"
"118317",E1217N4850,"40","0.93"
"118318",E1218N4850,"50","0.88"
"118319",E1219N4850,"40","0.87"
"118320",E1220N4850,"30","0.87"
"118321",E1221N4850,"25","0.84"
"118326",E1226N4850,"15","0.75"
"118327",E1228N4850,"30","0.87"
"118328",E1229N4850,"35","0.90"
"118329",E1230N4850,"45","0.93"
"118330",E1231N4850,"25","0.93"
"118331",E1232N4850,"30","0.93"
"118334",E1235N4850,"10","1.00"
"118335",E1236N4850,"20","1.00"
"118336",E1237N4850,"5","1.00"
"118337",E1240N4850,"5","0.91"
"118338",E1241N4850,"10","0.79"
"118339",E1242N4850,"10","0.75"
"118340",E1243N4850,"5","0.73"
"118341",E1244N4850,"5","0.73"
"118343",E1246N4850,"10","0.67"
"118344",E1247N4850,"5","0.60"
"118345",E1248N4850,"10","0.64"
"118346",E1249N4850,"25","0.58"
"118347",E1250N4850,"10","0.53"
"118348",E1251N4850,"10","0.53"
"123966",E1201N4827,"10","0.80"
"123503",E1201N4829,"5","0.80"
"123262",E1201N4830,"10","0.80"
"122813",E1201N4832,"15","0.77"
"123263",E1202N4830,"20","0.80"
"123264",E1203N4830,"5","0.82"
"123506",E1204N4829,"5","0.85"
"123265",E1204N4830,"5","0.87"
"123266",E1205N4830,"5","0.86"
"122815",E1206N4832,"10","0.80"
"123038",E1206N4831,"15","0.81"
"123268",E1207N4830,"5","0.80"
"118008",E1203N4851,"10","0.93"
"118009",E1204N4851,"25","0.93"
"118010",E1205N4851,"5","0.93"
"118011",E1206N4851,"15","0.93"
"118012",E1207N4851,"35","0.93"
"118013",E1208N4851,"20","0.93"
"118014",E1209N4851,"45","0.93"
"118015",E1210N4851,"70","0.93"
"118016",E1211N4851,"40","0.93"
"118017",E1212N4851,"30","0.93"
"118018",E1213N4851,"25","0.93"
"118019",E1214N4851,"5","0.93"
"118020",E1215N4851,"20","0.93"
"118021",E1216N4851,"15","0.93"
"118022",E1217N4851,"30","0.93"
"118023",E1218N4851,"50","0.91"
"118024",E1219N4851,"60","0.87"
"118025",E1220N4851,"50","0.87"
"118026",E1221N4851,"35","0.86"
"118027",E1222N4851,"5","0.80"
"118030",E1225N4851,"10","0.80"
"118031",E1226N4851,"10","0.76"
"118032",E1227N4851,"15","0.82"
"118033",E1228N4851,"20","0.87"
"118034",E1229N4851,"30","0.90"
"118035",E1230N4851,"120","0.94"
"118036",E1231N4851,"60","0.97"
"118037",E1232N4851,"80","0.99"
"118038",E1233N4851,"30","0.96"
"118039",E1234N4851,"5","0.98"
"118040",E1235N4851,"15","1.00"
"118041",E1236N4851,"20","1.00"
"118042",E1237N4851,"10","1.00"
"118044",E1239N4851,"5","0.93"
"118045",E1240N4851,"25","0.91"
"118046",E1241N4851,"10","0.86"
"118047",E1242N4851,"15","0.83"
"118051",E1246N4851,"5","0.73"
"118052",E1247N4851,"5","0.70"
"121505",E1220N4838,"20","0.79"
"121504",E1219N4838,"35","0.76"
"121503",E1218N4838,"60","0.73"
"121502",E1217N4838,"60","0.73"
"121501",E1216N4838,"55","0.77"
"121500",E1215N4838,"20","0.84"
"121499",E1214N4838,"15","0.84"
"121498",E1213N4838,"5","0.83"
"121240",E1220N4839,"30","0.80"
"121239",E1219N4839,"45","0.80"
"121238",E1218N4839,"85","0.79"
"119690",E1220N4845,"20","0.87"
"119689",E1219N4845,"20","0.89"
"119688",E1218N4845,"55","0.99"
"119687",E1217N4845,"20","1.00"
"119686",E1216N4845,"25","1.00"
