fid,crs28992re,1COR_DEN_INDEX_WALK,NUMNONWEST
"117629",E1142N4852,"0.53","14"
"117630",E1143N4852,"0.53","125"
"117958",E1149N4851,"0.73","98"
"117959",E1150N4851,"0.73","15"
"117961",E1152N4851,"0.73","12"
"117962",E1153N4851,"0.73","51"
"117635",E1149N4852,"0.73","53"
"117636",E1151N4852,"0.73","9"
"117637",E1152N4852,"0.73","48"
"117638",E1153N4852,"0.73","25"
"117318",E1149N4853,"0.73","14"
"117320",E1151N4853,"0.73","35"
"117321",E1152N4853,"0.73","48"
"117322",E1153N4853,"0.73","51"
"117001",E1151N4854,"0.73","75"
"117002",E1152N4854,"0.73","114"
"117003",E1153N4854,"0.73","50"
"116688",E1150N4855,"0.73","108"
"116689",E1151N4855,"0.73","336"
"116690",E1152N4855,"0.73","112"
"116691",E1153N4855,"0.73","72"
"116376",E1150N4856,"0.73","194"
"116377",E1151N4856,"0.73","171"
"116378",E1152N4856,"0.73","100"
"116379",E1153N4856,"0.73","147"
"116091",E1151N4857,"0.73","46"
"116090",E1150N4857,"0.73","65"
"116089",E1149N4857,"0.73","24"
"116092",E1152N4857,"0.73","162"
"116364",E1135N4856,"0.31","42"
"116988",E1136N4854,"0.35","28"
"116676",E1136N4855,"0.33","46"
"116365",E1136N4856,"0.34","98"
"116077",E1136N4857,"0.35","67"
"115779",E1136N4858,"0.33","18"
"117306",E1137N4853,"0.40","18"
"115780",E1137N4858,"0.40","109"
"116078",E1137N4857,"0.40","100"
"116366",E1137N4856,"0.39","70"
"116677",E1137N4855,"0.37","124"
"116989",E1137N4854,"0.40","42"
"117307",E1138N4853,"0.44","84"
"115781",E1138N4858,"0.40","8"
"116079",E1138N4857,"0.40","158"
"116367",E1138N4856,"0.41","96"
"116678",E1138N4855,"0.42","88"
"116990",E1138N4854,"0.43","16"
"117308",E1139N4853,"0.53","120"
"115782",E1139N4858,"0.43","96"
"116080",E1139N4857,"0.46","116"
"116368",E1139N4856,"0.47","84"
"116679",E1139N4855,"0.47","75"
"116991",E1139N4854,"0.50","53"
"117309",E1140N4853,"0.53","66"
"115783",E1140N4858,"0.47","180"
"116081",E1140N4857,"0.47","80"
"116369",E1140N4856,"0.50","24"
"116680",E1140N4855,"0.53","53"
"116992",E1140N4854,"0.53","138"
"117310",E1141N4853,"0.53","48"
"116993",E1141N4854,"0.53","95"
"115784",E1141N4858,"0.50","94"
"116675",E1135N4855,"0.33","53"
"116987",E1135N4854,"0.33","87"
"116674",E1134N4855,"0.27","38"
"116986",E1134N4854,"0.27","78"
"116985",E1133N4854,"0.27","40"
"117304",E1135N4853,"0.32","90"
"117303",E1134N4853,"0.27","63"
"117302",E1133N4853,"0.27","83"
"116682",E1142N4855,"0.57","59"
"116683",E1144N4855,"0.67","34"
"116685",E1146N4855,"0.73","136"
"116686",E1147N4855,"0.73","182"
"116687",E1148N4855,"0.73","85"
"116370",E1142N4856,"0.54","120"
"116371",E1143N4856,"0.60","39"
"116372",E1144N4856,"0.66","156"
"116373",E1145N4856,"0.68","78"
"116374",E1146N4856,"0.73","116"
"116375",E1147N4856,"0.73","135"
"116082",E1142N4857,"0.53","65"
"116083",E1143N4857,"0.58","84"
"116084",E1144N4857,"0.65","220"
"116085",E1145N4857,"0.67","204"
"116086",E1146N4857,"0.72","160"
"116087",E1147N4857,"0.73","96"
"116088",E1148N4857,"0.73","93"
"116997",E1146N4854,"0.73","144"
"116998",E1147N4854,"0.73","168"
"116999",E1148N4854,"0.73","65"
"114848",E1140N4861,"0.40","48"
"114542",E1141N4862,"0.42","4"
"113319",E1140N4866,"0.18","6"
"113318",E1139N4866,"0.18","13"
"115790",E1148N4858,"0.73","17"
"115789",E1147N4858,"0.73","200"
"115788",E1146N4858,"0.70","172"
"115787",E1145N4858,"0.67","104"
"115786",E1144N4858,"0.62","52"
"115482",E1148N4859,"0.73","28"
"115481",E1147N4859,"0.73","14"
"115480",E1145N4859,"0.66","32"
"115479",E1144N4859,"0.59","210"
"115478",E1143N4859,"0.53","198"
"115477",E1142N4859,"0.53","110"
"115171",E1142N4860,"0.51","180"
"115177",E1148N4860,"0.73","32"
"115176",E1147N4860,"0.73","51"
"115175",E1146N4860,"0.73","93"
"115174",E1145N4860,"0.64","32"
"115173",E1144N4860,"0.56","100"
"115172",E1143N4860,"0.53","104"
"114849",E1142N4861,"0.48","15"
"114855",E1148N4861,"0.73","43"
"114854",E1147N4861,"0.73","5"
"114853",E1146N4861,"0.72","96"
"114852",E1145N4861,"0.66","72"
"114851",E1144N4861,"0.54","104"
"114850",E1143N4861,"0.53","104"
"114543",E1142N4862,"0.47","21"
"114549",E1148N4862,"0.73","161"
"114548",E1147N4862,"0.73","67"
"114547",E1146N4862,"0.69","9"
"114546",E1145N4862,"0.64","140"
"114545",E1144N4862,"0.56","90"
"114544",E1143N4862,"0.51","131"
"115794",E1153N4858,"0.73","18"
"115793",E1151N4858,"0.73","54"
"115792",E1150N4858,"0.73","8"
"115791",E1149N4858,"0.73","44"
"115486",E1153N4859,"0.73","114"
"115485",E1151N4859,"0.73","25"
"115484",E1150N4859,"0.73","25"
"115483",E1149N4859,"0.73","46"
"115181",E1152N4860,"0.73","28"
"115180",E1151N4860,"0.73","88"
"115179",E1150N4860,"0.73","172"
"115178",E1149N4860,"0.73","164"
"114859",E1152N4861,"0.73","98"
"114858",E1151N4861,"0.73","152"
"114857",E1150N4861,"0.73","192"
"114856",E1149N4861,"0.73","161"
"114552",E1152N4862,"0.73","183"
"114551",E1150N4862,"0.73","39"
"114550",E1149N4862,"0.73","95"
"114239",E1153N4863,"0.77","137"
"114238",E1152N4863,"0.76","112"
"114237",E1151N4863,"0.73","63"
"114235",E1149N4863,"0.73","74"
"113911",E1153N4864,"0.73","13"
"113910",E1152N4864,"0.74","143"
"113909",E1151N4864,"0.72","163"
"113908",E1150N4864,"0.73","158"
"113907",E1149N4864,"0.73","184"
"113602",E1152N4865,"0.67","188"
"113600",E1149N4865,"0.70","42"
"113322",E1153N4866,"0.60","249"
"114234",E1148N4863,"0.73","180"
"114233",E1147N4863,"0.72","104"
"114232",E1146N4863,"0.66","88"
"114231",E1145N4863,"0.61","207"
"114230",E1144N4863,"0.58","156"
"114229",E1143N4863,"0.47","59"
"113905",E1147N4864,"0.69","108"
"113906",E1148N4864,"0.73","220"
"111073",E1148N4874,"0.40","39"
"110758",E1145N4875,"0.40","14"
"110759",E1146N4875,"0.40","54"
"110760",E1147N4875,"0.40","32"
"110761",E1148N4875,"0.40","43"
"110442",E1145N4876,"0.40","8"
"110443",E1146N4876,"0.40","40"
"110444",E1147N4876,"0.40","116"
"110445",E1148N4876,"0.40","140"
"112195",E1136N4870,"0.13","8"
"111367",E1133N4873,"0.07","5"
"111072",E1132N4874,"0.07","5"
"110756",E1130N4875,"0.07","6"
"110441",E1130N4876,"0.07","8"
"110124",E1149N4877,"0.40","244"
"110125",E1150N4877,"0.40","102"
"110126",E1151N4877,"0.40","63"
"110127",E1152N4877,"0.43","95"
"110128",E1153N4877,"0.47","196"
"109816",E1149N4878,"0.40","108"
"109817",E1150N4878,"0.40","55"
"109818",E1151N4878,"0.40","105"
"109819",E1152N4878,"0.46","196"
"109820",E1153N4878,"0.47","210"
"109508",E1149N4879,"0.40","105"
"109509",E1150N4879,"0.40","210"
"109510",E1151N4879,"0.41","70"
"109511",E1152N4879,"0.47","108"
"109512",E1153N4879,"0.47","180"
"109209",E1149N4880,"0.40","165"
"109210",E1150N4880,"0.40","249"
"109211",E1151N4880,"0.40","168"
"109212",E1152N4880,"0.46","39"
"109213",E1153N4880,"0.47","316"
"108890",E1149N4881,"0.40","81"
"108891",E1150N4881,"0.40","376"
"108892",E1151N4881,"0.40","68"
"108893",E1152N4881,"0.46","20"
"108894",E1153N4881,"0.47","74"
"108560",E1149N4882,"0.40","156"
"108561",E1150N4882,"0.40","131"
"108562",E1151N4882,"0.40","123"
"108563",E1152N4882,"0.45","200"
"108564",E1153N4882,"0.47","208"
"108218",E1149N4883,"0.40","208"
"108219",E1150N4883,"0.40","176"
"108220",E1151N4883,"0.40","152"
"108221",E1152N4883,"0.43","18"
"108222",E1153N4883,"0.47","102"
"110450",E1153N4876,"0.51","88"
"110449",E1152N4876,"0.40","72"
"110448",E1151N4876,"0.40","26"
"110447",E1150N4876,"0.40","192"
"110446",E1149N4876,"0.40","172"
"110766",E1153N4875,"0.49","74"
"110765",E1152N4875,"0.43","45"
"110764",E1151N4875,"0.40","25"
"110763",E1150N4875,"0.40","144"
"110762",E1149N4875,"0.40","108"
"111078",E1153N4874,"0.47","64"
"111077",E1152N4874,"0.45","34"
"111076",E1151N4874,"0.40","18"
"111075",E1150N4874,"0.40","58"
"111074",E1149N4874,"0.40","24"
"111648",E1151N4872,"0.45","345"
"110123",E1148N4877,"0.40","158"
"110122",E1147N4877,"0.40","63"
"110121",E1146N4877,"0.40","38"
"109815",E1148N4878,"0.40","60"
"109814",E1147N4878,"0.40","24"
"109813",E1146N4878,"0.40","38"
"109507",E1148N4879,"0.40","116"
"109506",E1147N4879,"0.40","45"
"109505",E1146N4879,"0.40","35"
"109504",E1144N4879,"0.40","8"
"109503",E1143N4879,"0.40","24"
"109208",E1148N4880,"0.40","66"
"109207",E1147N4880,"0.40","40"
"109206",E1146N4880,"0.40","7"
"109205",E1145N4880,"0.40","36"
"109204",E1144N4880,"0.40","33"
"109203",E1143N4880,"0.40","58"
"108889",E1148N4881,"0.40","30"
"108888",E1147N4881,"0.40","95"
"108887",E1146N4881,"0.40","10"
"108886",E1145N4881,"0.40","130"
"108885",E1144N4881,"0.40","32"
"108884",E1143N4881,"0.40","58"
"108559",E1148N4882,"0.40","41"
"108558",E1147N4882,"0.40","56"
"108557",E1146N4882,"0.40","21"
"108556",E1145N4882,"0.40","30"
"108555",E1144N4882,"0.40","50"
"108554",E1143N4882,"0.40","68"
"108217",E1148N4883,"0.40","75"
"108216",E1147N4883,"0.40","156"
"108215",E1146N4883,"0.40","18"
"108214",E1145N4883,"0.40","38"
"108213",E1144N4883,"0.40","48"
"108212",E1143N4883,"0.40","55"
"109202",E1142N4880,"0.40","50"
"108208",E1122N4883,"0.00","10"
"108551",E1123N4882,"0.00","6"
"119638",E1157N4845,"0.39","16"
"119639",E1158N4845,"0.39","44"
"119640",E1159N4845,"0.39","30"
"119641",E1160N4845,"0.46","38"
"119642",E1161N4845,"0.60","27"
"119643",E1162N4845,"0.61","17"
"119371",E1157N4846,"0.60","24"
"119372",E1158N4846,"0.55","70"
"119373",E1159N4846,"0.47","40"
"119374",E1160N4846,"0.52","67"
"119375",E1161N4846,"0.60","35"
"119376",E1162N4846,"0.66","23"
"119104",E1157N4847,"0.63","8"
"119105",E1158N4847,"0.65","72"
"119106",E1159N4847,"0.62","20"
"119107",E1160N4847,"0.62","35"
"119108",E1161N4847,"0.66","42"
"119109",E1162N4847,"0.67","20"
"118838",E1157N4848,"0.71","30"
"118839",E1158N4848,"0.69","26"
"118840",E1159N4848,"0.73","14"
"118841",E1160N4848,"0.78","26"
"118842",E1161N4848,"0.68","19"
"118843",E1162N4848,"0.67","20"
"118573",E1161N4849,"0.76","5"
"118272",E1160N4850,"0.80","6"
"119644",E1163N4845,"0.66","30"
"119377",E1163N4846,"0.67","44"
"119110",E1163N4847,"0.67","32"
"118844",E1163N4848,"0.67","19"
"117971",E1164N4851,"0.67","18"
"117972",E1165N4851,"0.67","17"
"117647",E1163N4852,"0.73","8"
"117648",E1164N4852,"0.67","50"
"117649",E1165N4852,"0.67","54"
"117332",E1164N4853,"0.70","43"
"117333",E1165N4853,"0.67","19"
"117012",E1164N4854,"0.79","16"
"117013",E1165N4854,"0.69","23"
"116697",E1163N4855,"0.79","60"
"116698",E1164N4855,"0.80","93"
"116699",E1165N4855,"0.74","184"
"116384",E1163N4856,"0.76","12"
"116385",E1164N4856,"0.76","91"
"116386",E1165N4856,"0.75","91"
"116096",E1164N4857,"0.68","16"
"116097",E1165N4857,"0.71","24"
"115796",E1163N4858,"0.68","6"
"115798",E1165N4858,"0.65","44"
"115489",E1164N4859,"0.67","11"
"115490",E1165N4859,"0.62","20"
"115182",E1164N4860,"0.61","5"
"115183",E1165N4860,"0.60","7"
"114862",E1165N4861,"0.60","7"
"119381",E1171N4846,"0.67","165"
"119382",E1172N4846,"0.64","63"
"119383",E1173N4846,"0.60","40"
"119384",E1174N4846,"0.60","100"
"119385",E1175N4846,"0.55","176"
"119386",E1176N4846,"0.48","130"
"119387",E1177N4846,"0.46","8"
"119388",E1178N4846,"0.48","56"
"119389",E1179N4846,"0.56","74"
"119390",E1180N4846,"0.60","53"
"119391",E1181N4846,"0.59","44"
"119392",E1182N4846,"0.59","29"
"119393",E1183N4846,"0.60","29"
"119394",E1184N4846,"0.67","20"
"119396",E1188N4846,"0.60","35"
"119397",E1189N4846,"0.60","62"
"119398",E1190N4846,"0.60","29"
"119399",E1191N4846,"0.60","28"
"119400",E1192N4846,"0.64","63"
"119401",E1193N4846,"0.64","87"
"119402",E1194N4846,"0.67","20"
"119404",E1196N4846,"0.61","18"
"119405",E1197N4846,"0.62","15"
"119406",E1198N4846,"0.65","18"
"119407",E1199N4846,"0.67","15"
"119409",E1201N4846,"0.68","10"
"119410",E1202N4846,"0.79","23"
"119411",E1203N4846,"0.91","20"
"119380",E1170N4846,"0.67","208"
"119379",E1169N4846,"0.67","179"
"119378",E1168N4846,"0.67","135"
"119113",E1170N4847,"0.67","20"
"119115",E1172N4847,"0.67","162"
"119116",E1173N4847,"0.64","19"
"119117",E1174N4847,"0.60","100"
"119118",E1175N4847,"0.60","75"
"119119",E1176N4847,"0.57","146"
"119120",E1177N4847,"0.49","16"
"119121",E1180N4847,"0.60","48"
"119122",E1181N4847,"0.62","17"
"119123",E1182N4847,"0.61","34"
"119124",E1183N4847,"0.62","77"
"119125",E1184N4847,"0.67","23"
"119126",E1185N4847,"0.64","58"
"119127",E1186N4847,"0.55","50"
"119128",E1187N4847,"0.53","28"
"119129",E1189N4847,"0.59","62"
"119130",E1190N4847,"0.60","66"
"119131",E1191N4847,"0.57","24"
"119132",E1192N4847,"0.60","8"
"119133",E1193N4847,"0.60","23"
"119135",E1195N4847,"0.66","8"
"119136",E1196N4847,"0.66","17"
"119137",E1197N4847,"0.67","8"
"119138",E1198N4847,"0.67","13"
"119139",E1199N4847,"0.68","10"
"119140",E1200N4847,"0.73","5"
"119141",E1201N4847,"0.78","32"
"119142",E1202N4847,"0.92","33"
"119143",E1203N4847,"0.93","33"
"119144",E1204N4847,"0.93","6"
"119145",E1205N4847,"0.93","18"
"119112",E1169N4847,"0.67","60"
"119111",E1168N4847,"0.67","35"
"118847",E1170N4848,"0.67","75"
"118848",E1171N4848,"0.67","38"
"118849",E1172N4848,"0.67","57"
"118850",E1173N4848,"0.67","32"
"118851",E1174N4848,"0.62","109"
"118852",E1175N4848,"0.60","28"
"118853",E1176N4848,"0.63","173"
"118854",E1177N4848,"0.60","71"
"118855",E1179N4848,"0.60","95"
"118856",E1180N4848,"0.60","17"
"118857",E1181N4848,"0.65","30"
"118858",E1182N4848,"0.65","54"
"118859",E1183N4848,"0.66","58"
"118860",E1184N4848,"0.67","41"
"118861",E1185N4848,"0.67","24"
"118862",E1186N4848,"0.57","107"
"118863",E1187N4848,"0.53","21"
"118864",E1188N4848,"0.53","14"
"118865",E1189N4848,"0.54","12"
"118866",E1190N4848,"0.54","80"
"118867",E1191N4848,"0.53","72"
"118868",E1192N4848,"0.59","14"
"118869",E1193N4848,"0.60","7"
"118846",E1169N4848,"0.67","69"
"118845",E1168N4848,"0.67","81"
"118579",E1175N4849,"0.60","50"
"118580",E1176N4849,"0.63","141"
"118581",E1177N4849,"0.63","80"
"118582",E1180N4849,"0.61","24"
"118583",E1181N4849,"0.67","21"
"118584",E1182N4849,"0.68","54"
"118585",E1183N4849,"0.67","35"
"118586",E1184N4849,"0.67","28"
"118587",E1185N4849,"0.67","29"
"118588",E1186N4849,"0.60","27"
"118589",E1187N4849,"0.59","59"
"118590",E1188N4849,"0.58","38"
"118591",E1189N4849,"0.53","32"
"118592",E1190N4849,"0.53","30"
"118593",E1191N4849,"0.53","49"
"118594",E1192N4849,"0.57","44"
"118595",E1193N4849,"0.60","13"
"118299",E1196N4850,"0.60","5"
"118297",E1194N4850,"0.60","6"
"118296",E1193N4850,"0.60","9"
"118295",E1192N4850,"0.54","23"
"118294",E1191N4850,"0.53","28"
"118293",E1190N4850,"0.53","17"
"118292",E1189N4850,"0.58","17"
"118291",E1188N4850,"0.60","17"
"118290",E1187N4850,"0.60","37"
"118289",E1186N4850,"0.61","84"
"118288",E1185N4850,"0.67","21"
"118287",E1184N4850,"0.67","31"
"118286",E1183N4850,"0.69","25"
"118285",E1182N4850,"0.66","50"
"118284",E1181N4850,"0.67","43"
"118283",E1174N4850,"0.65","23"
"118282",E1172N4850,"0.67","38"
"118578",E1171N4849,"0.67","73"
"118281",E1170N4850,"0.67","18"
"118577",E1170N4849,"0.67","84"
"118278",E1167N4850,"0.67","25"
"118277",E1166N4850,"0.67","12"
"118575",E1168N4849,"0.67","68"
"118280",E1169N4850,"0.67","18"
"118576",E1169N4849,"0.67","75"
"118266",E1154N4850,"0.73","53"
"118267",E1155N4850,"0.71","46"
"118268",E1156N4850,"0.73","20"
"117963",E1154N4851,"0.73","65"
"117964",E1155N4851,"0.73","18"
"117965",E1156N4851,"0.73","24"
"117640",E1155N4852,"0.73","26"
"117641",E1156N4852,"0.73","50"
"117323",E1154N4853,"0.73","35"
"117324",E1155N4853,"0.73","26"
"117325",E1156N4853,"0.73","92"
"117004",E1154N4854,"0.73","48"
"117005",E1155N4854,"0.73","50"
"117006",E1156N4854,"0.73","57"
"116692",E1154N4855,"0.73","35"
"116693",E1155N4855,"0.73","48"
"116380",E1154N4856,"0.73","36"
"116381",E1155N4856,"0.73","152"
"116094",E1154N4857,"0.73","26"
"115795",E1154N4858,"0.73","50"
"115487",E1154N4859,"0.73","64"
"114860",E1155N4861,"0.78","66"
"114861",E1156N4861,"0.78","20"
"114553",E1154N4862,"0.80","39"
"114554",E1155N4862,"0.78","23"
"114555",E1156N4862,"0.74","18"
"114240",E1154N4863,"0.75","20"
"114241",E1155N4863,"0.73","38"
"114242",E1156N4863,"0.65","38"
"113912",E1154N4864,"0.69","58"
"113913",E1155N4864,"0.62","63"
"113603",E1155N4865,"0.60","48"
"113323",E1155N4866,"0.60","78"
"117991",E1186N4851,"0.60","54"
"117992",E1187N4851,"0.60","32"
"117993",E1188N4851,"0.60","24"
"117996",E1191N4851,"0.53","13"
"117997",E1192N4851,"0.53","17"
"117998",E1193N4851,"0.58","12"
"117999",E1194N4851,"0.60","24"
"118000",E1195N4851,"0.60","25"
"118001",E1196N4851,"0.60","13"
"118002",E1197N4851,"0.60","15"
"118003",E1198N4851,"0.67","7"
"118005",E1200N4851,"0.82","0"
"118006",E1201N4851,"0.87","12"
"117990",E1185N4851,"0.68","21"
"117989",E1184N4851,"0.73","31"
"117988",E1183N4851,"0.69","31"
"117987",E1182N4851,"0.67","27"
"117986",E1181N4851,"0.67","25"
"117984",E1178N4851,"0.60","113"
"117983",E1177N4851,"0.66","80"
"117982",E1176N4851,"0.63","18"
"117981",E1175N4851,"0.60","58"
"117980",E1174N4851,"0.68","80"
"117979",E1172N4851,"0.69","132"
"117978",E1171N4851,"0.68","62"
"117977",E1170N4851,"0.67","15"
"117974",E1167N4851,"0.67","6"
"117973",E1166N4851,"0.67","24"
"117976",E1169N4851,"0.67","11"
"117975",E1168N4851,"0.67","24"
"117967",E1158N4851,"0.73","18"
"117968",E1159N4851,"0.73","42"
"117969",E1160N4851,"0.77","16"
"117970",E1161N4851,"0.80","7"
"117642",E1157N4852,"0.73","50"
"117643",E1158N4852,"0.73","36"
"117644",E1159N4852,"0.73","42"
"117645",E1160N4852,"0.73","36"
"117646",E1161N4852,"0.78","26"
"117327",E1158N4853,"0.73","33"
"117328",E1159N4853,"0.73","24"
"117329",E1160N4853,"0.73","40"
"117330",E1161N4853,"0.75","7"
"117007",E1157N4854,"0.73","70"
"117008",E1158N4854,"0.73","72"
"117009",E1159N4854,"0.73","36"
"117010",E1160N4854,"0.73","12"
"116694",E1158N4855,"0.71","14"
"116695",E1159N4855,"0.68","50"
"116696",E1160N4855,"0.69","35"
"116382",E1160N4856,"0.70","11"
"116383",E1161N4856,"0.74","15"
"117667",E1186N4852,"0.64","15"
"117668",E1187N4852,"0.60","22"
"117669",E1188N4852,"0.60","20"
"117670",E1189N4852,"0.60","7"
"117672",E1191N4852,"0.60","9"
"117673",E1192N4852,"0.57","6"
"117674",E1193N4852,"0.59","7"
"117676",E1195N4852,"0.66","18"
"117677",E1196N4852,"0.66","22"
"117678",E1197N4852,"0.67","20"
"117679",E1198N4852,"0.68","14"
"117680",E1199N4852,"0.73","18"
"117681",E1200N4852,"0.82","7"
"117682",E1201N4852,"0.90","7"
"117683",E1202N4852,"0.93","18"
"117684",E1203N4852,"0.93","17"
"117685",E1204N4852,"0.93","26"
"117686",E1205N4852,"0.93","16"
"117687",E1206N4852,"0.93","17"
"117688",E1207N4852,"0.93","21"
"117689",E1208N4852,"0.93","53"
"117690",E1209N4852,"0.93","77"
"117691",E1210N4852,"0.93","136"
"117692",E1211N4852,"0.93","58"
"117693",E1212N4852,"0.93","57"
"117694",E1213N4852,"0.93","53"
"117654",E1170N4852,"0.71","40"
"117338",E1170N4853,"0.73","34"
"117655",E1171N4852,"0.73","56"
"117339",E1171N4853,"0.73","70"
"117656",E1172N4852,"0.73","83"
"117340",E1172N4853,"0.68","73"
"116394",E1173N4856,"0.67","38"
"117657",E1174N4852,"0.68","31"
"117659",E1176N4852,"0.62","61"
"117660",E1177N4852,"0.66","102"
"117662",E1181N4852,"0.67","47"
"117663",E1182N4852,"0.67","25"
"117664",E1183N4852,"0.67","28"
"117665",E1184N4852,"0.69","84"
"117666",E1185N4852,"0.67","25"
"116700",E1166N4855,"0.69","162"
"116703",E1169N4855,"0.73","114"
"116702",E1168N4855,"0.73","45"
"116701",E1167N4855,"0.73","126"
"116387",E1166N4856,"0.72","88"
"116390",E1169N4856,"0.72","88"
"116389",E1168N4856,"0.73","6"
"116388",E1167N4856,"0.73","98"
"116098",E1166N4857,"0.67","30"
"116099",E1167N4857,"0.68","103"
"116100",E1168N4857,"0.68","51"
"116101",E1169N4857,"0.67","100"
"115799",E1166N4858,"0.64","33"
"115800",E1167N4858,"0.67","38"
"115801",E1168N4858,"0.67","70"
"115802",E1169N4858,"0.67","40"
"115491",E1166N4859,"0.60","9"
"115492",E1167N4859,"0.63","16"
"115493",E1168N4859,"0.67","30"
"115494",E1169N4859,"0.67","67"
"115185",E1167N4860,"0.62","10"
"115186",E1168N4860,"0.67","48"
"115187",E1169N4860,"0.67","63"
"114863",E1166N4861,"0.60","8"
"114865",E1168N4861,"0.67","24"
"114866",E1169N4861,"0.67","51"
"114556",E1166N4862,"0.60","24"
"114557",E1167N4862,"0.64","96"
"114558",E1169N4862,"0.67","54"
"114243",E1166N4863,"0.59","28"
"114244",E1167N4863,"0.61","116"
"114245",E1168N4863,"0.66","66"
"114246",E1169N4863,"0.64","109"
"117015",E1167N4854,"0.69","26"
"117335",E1167N4853,"0.67","15"
"117651",E1167N4852,"0.67","24"
"117014",E1166N4854,"0.67","28"
"117334",E1166N4853,"0.67","45"
"117650",E1166N4852,"0.67","40"
"117653",E1169N4852,"0.67","17"
"117337",E1169N4853,"0.73","24"
"117017",E1169N4854,"0.73","9"
"117652",E1168N4852,"0.67","27"
"117336",E1168N4853,"0.68","70"
"117016",E1168N4854,"0.73","62"
"117341",E1174N4853,"0.67","112"
"117342",E1175N4853,"0.67","37"
"117343",E1176N4853,"0.66","71"
"117344",E1177N4853,"0.64","75"
"117345",E1179N4853,"0.62","5"
"117346",E1181N4853,"0.67","33"
"117347",E1182N4853,"0.67","19"
"117348",E1183N4853,"0.66","18"
"117349",E1184N4853,"0.61","30"
"117350",E1185N4853,"0.64","29"
"117352",E1187N4853,"0.64","25"
"117358",E1194N4853,"0.59","9"
"116399",E1180N4856,"0.73","56"
"116711",E1180N4855,"0.71","168"
"116400",E1181N4856,"0.71","178"
"116712",E1181N4855,"0.67","52"
"116402",E1183N4856,"0.69","20"
"116713",E1183N4855,"0.67","11"
"117022",E1183N4854,"0.66","8"
"116403",E1184N4856,"0.67","44"
"116714",E1184N4855,"0.62","53"
"117023",E1184N4854,"0.60","19"
"116404",E1185N4856,"0.66","16"
"116715",E1185N4855,"0.60","27"
"117024",E1185N4854,"0.60","18"
"116405",E1186N4856,"0.72","21"
"116108",E1186N4857,"0.73","14"
"116716",E1186N4855,"0.66","11"
"117025",E1186N4854,"0.65","12"
"116406",E1187N4856,"0.68","6"
"116109",E1187N4857,"0.72","23"
"116717",E1187N4855,"0.70","12"
"117026",E1187N4854,"0.69","16"
"116407",E1188N4856,"0.67","22"
"116110",E1188N4857,"0.67","24"
"116718",E1188N4855,"0.70","12"
"116408",E1189N4856,"0.67","22"
"116111",E1189N4857,"0.70","39"
"116409",E1190N4856,"0.68","15"
"116112",E1190N4857,"0.75","28"
"116113",E1191N4857,"0.77","36"
"116114",E1192N4857,"0.80","48"
"115803",E1170N4858,"0.67","141"
"115495",E1170N4859,"0.67","10"
"114247",E1170N4863,"0.60","109"
"114559",E1170N4862,"0.65","165"
"114867",E1170N4861,"0.67","25"
"115188",E1170N4860,"0.67","18"
"115804",E1171N4858,"0.67","116"
"115496",E1171N4859,"0.67","196"
"114248",E1171N4863,"0.60","140"
"114560",E1171N4862,"0.60","60"
"114868",E1171N4861,"0.66","24"
"115189",E1171N4860,"0.67","91"
"115805",E1172N4858,"0.67","54"
"115497",E1172N4859,"0.67","45"
"114249",E1172N4863,"0.58","50"
"114561",E1172N4862,"0.60","35"
"115806",E1173N4858,"0.67","22"
"116102",E1170N4857,"0.67","67"
"116103",E1171N4857,"0.67","44"
"116104",E1172N4857,"0.67","53"
"116105",E1174N4857,"0.67","108"
"116106",E1175N4857,"0.66","189"
"116107",E1176N4857,"0.68","35"
"115810",E1177N4858,"0.72","13"
"115809",E1176N4858,"0.67","44"
"115808",E1175N4858,"0.63","113"
"115807",E1174N4858,"0.66","93"
"116395",E1174N4856,"0.67","218"
"116396",E1175N4856,"0.67","13"
"116397",E1176N4856,"0.67","8"
"116398",E1177N4856,"0.70","12"
"116708",E1174N4855,"0.67","49"
"116709",E1175N4855,"0.67","19"
"116710",E1176N4855,"0.67","12"
"117021",E1174N4854,"0.67","13"
"116707",E1173N4855,"0.67","9"
"116706",E1172N4855,"0.67","60"
"116705",E1171N4855,"0.67","144"
"116704",E1170N4855,"0.72","100"
"117020",E1172N4854,"0.67","74"
"117019",E1171N4854,"0.70","15"
"117018",E1170N4854,"0.73","16"
"116393",E1172N4856,"0.67","42"
"116392",E1171N4856,"0.67","95"
"116391",E1170N4856,"0.67","92"
"115498",E1173N4859,"0.66","16"
"115499",E1174N4859,"0.62","14"
"115500",E1175N4859,"0.66","93"
"115501",E1176N4859,"0.65","12"
"115502",E1177N4859,"0.67","68"
"115503",E1178N4859,"0.72","68"
"115504",E1184N4859,"0.69","70"
"115505",E1185N4859,"0.69","35"
"115506",E1186N4859,"0.75","68"
"115507",E1187N4859,"0.79","25"
"115508",E1188N4859,"0.80","17"
"115509",E1189N4859,"0.80","62"
"115510",E1190N4859,"0.80","31"
"115511",E1191N4859,"0.80","29"
"115512",E1192N4859,"0.80","59"
"115513",E1193N4859,"0.80","44"
"115514",E1194N4859,"0.80","20"
"115516",E1196N4859,"0.80","14"
"115517",E1197N4859,"0.80","14"
"115518",E1198N4859,"0.87","8"
"115520",E1203N4859,"0.93","5"
"115521",E1204N4859,"0.93","18"
"115522",E1205N4859,"0.93","12"
