fid,crs28992re,1COR_DEN_INDEX_WALK,NUMNONWEST
"118628",E1229N4849,"0.91","123"
"118627",E1228N4849,"0.86","168"
"118626",E1227N4849,"0.80","33"
"118625",E1226N4849,"0.77","26"
"118622",E1223N4849,"0.80","112"
"118621",E1222N4849,"0.80","118"
"118620",E1221N4849,"0.82","98"
"118619",E1220N4849,"0.87","75"
"118618",E1219N4849,"0.87","93"
"118617",E1218N4849,"0.87","104"
"118616",E1217N4849,"0.87","106"
"118615",E1216N4849,"0.92","27"
"118614",E1215N4849,"0.93","40"
"118613",E1214N4849,"0.93","81"
"118612",E1213N4849,"0.93","75"
"118611",E1212N4849,"0.93","60"
"118610",E1211N4849,"0.93","29"
"118609",E1210N4849,"0.93","69"
"118608",E1209N4849,"0.93","27"
"118607",E1208N4849,"0.93","9"
"118606",E1207N4849,"0.93","17"
"118605",E1206N4849,"0.93","12"
"118604",E1205N4849,"0.93","17"
"118603",E1204N4849,"0.93","9"
"118634",E1235N4849,"0.94","46"
"118635",E1236N4849,"0.95","24"
"118636",E1241N4849,"0.80","18"
"118637",E1242N4849,"0.80","16"
"118638",E1243N4849,"0.78","21"
"118639",E1244N4849,"0.75","19"
"118640",E1245N4849,"0.70","19"
"118641",E1246N4849,"0.62","7"
"118642",E1247N4849,"0.60","9"
"118643",E1248N4849,"0.60","16"
"118644",E1249N4849,"0.57","13"
"118645",E1250N4849,"0.53","98"
"118301",E1201N4850,"0.88","11"
"118302",E1202N4850,"0.93","8"
"118303",E1203N4850,"0.93","7"
"118304",E1204N4850,"0.93","19"
"118305",E1205N4850,"0.93","11"
"118306",E1206N4850,"0.93","30"
"118307",E1207N4850,"0.93","17"
"118308",E1208N4850,"0.93","14"
"118309",E1209N4850,"0.93","22"
"118310",E1210N4850,"0.93","58"
"118311",E1211N4850,"0.93","51"
"118312",E1212N4850,"0.93","56"
"118313",E1213N4850,"0.93","87"
"118314",E1214N4850,"0.93","69"
"118315",E1215N4850,"0.93","64"
"118316",E1216N4850,"0.93","71"
"118317",E1217N4850,"0.93","49"
"118318",E1218N4850,"0.88","73"
"118319",E1219N4850,"0.87","67"
"118320",E1220N4850,"0.87","51"
"118321",E1221N4850,"0.84","45"
"118322",E1222N4850,"0.80","7"
"118323",E1223N4850,"0.80","14"
"118326",E1226N4850,"0.75","29"
"118327",E1228N4850,"0.87","83"
"118328",E1229N4850,"0.90","74"
"118329",E1230N4850,"0.93","90"
"118330",E1231N4850,"0.93","66"
"118331",E1232N4850,"0.93","64"
"118332",E1233N4850,"0.89","11"
"118334",E1235N4850,"1.00","12"
"118335",E1236N4850,"1.00","34"
"118336",E1237N4850,"1.00","11"
"118337",E1240N4850,"0.91","25"
"118338",E1241N4850,"0.79","20"
"118339",E1242N4850,"0.75","19"
"118340",E1243N4850,"0.73","13"
"118341",E1244N4850,"0.73","15"
"118342",E1245N4850,"0.73","11"
"118343",E1246N4850,"0.67","18"
"118344",E1247N4850,"0.60","15"
"118345",E1248N4850,"0.64","14"
"118346",E1249N4850,"0.58","38"
"118347",E1250N4850,"0.53","6"
"123966",E1201N4827,"0.80","16"
"123503",E1201N4829,"0.80","28"
"123262",E1201N4830,"0.80","46"
"122598",E1201N4833,"0.73","6"
"122813",E1201N4832,"0.77","96"
"123504",E1202N4829,"0.80","17"
"123263",E1202N4830,"0.80","53"
"122814",E1202N4832,"0.80","9"
"123505",E1203N4829,"0.80","5"
"123264",E1203N4830,"0.82","15"
"123506",E1204N4829,"0.85","54"
"123265",E1204N4830,"0.87","22"
"123266",E1205N4830,"0.86","24"
"123267",E1206N4830,"0.80","9"
"122815",E1206N4832,"0.80","66"
"123038",E1206N4831,"0.81","102"
"123268",E1207N4830,"0.80","10"
"122816",E1207N4832,"0.80","29"
"123039",E1207N4831,"0.80","29"
"118008",E1203N4851,"0.93","24"
"118009",E1204N4851,"0.93","40"
"118010",E1205N4851,"0.93","18"
"118011",E1206N4851,"0.93","19"
"118012",E1207N4851,"0.93","64"
"118013",E1208N4851,"0.93","20"
"118014",E1209N4851,"0.93","66"
"118015",E1210N4851,"0.93","154"
"118016",E1211N4851,"0.93","58"
"118017",E1212N4851,"0.93","57"
"118018",E1213N4851,"0.93","40"
"118020",E1215N4851,"0.93","25"
"118021",E1216N4851,"0.93","14"
"118022",E1217N4851,"0.93","50"
"118023",E1218N4851,"0.91","129"
"118024",E1219N4851,"0.87","105"
"118025",E1220N4851,"0.87","64"
"118026",E1221N4851,"0.86","50"
"118027",E1222N4851,"0.80","17"
"118029",E1224N4851,"0.80","11"
"118030",E1225N4851,"0.80","15"
"118031",E1226N4851,"0.76","11"
"118032",E1227N4851,"0.82","30"
"118033",E1228N4851,"0.87","63"
"118034",E1229N4851,"0.90","84"
"118035",E1230N4851,"0.94","255"
"118036",E1231N4851,"0.97","145"
"118037",E1232N4851,"0.99","177"
