fid,crs28992re,INDEX_WALK,num_inh_2
"115839",E1224N4858,"0.86","5"
"115838",E1222N4858,"0.93","15"
"115837",E1220N4858,"0.95","70"
"115836",E1219N4858,"1.00","35"
"115835",E1216N4858,"1.00","130"
"115834",E1215N4858,"1.00","110"
"116125",E1214N4857,"0.94","235"
"115833",E1214N4858,"0.99","140"
"116124",E1213N4857,"0.93","80"
"116123",E1210N4857,"0.93","95"
"116122",E1209N4857,"0.93","70"
"116121",E1205N4857,"0.93","10"
"116120",E1204N4857,"0.93","20"
"116119",E1203N4857,"0.93","35"
"116118",E1202N4857,"0.93","150"
"116117",E1201N4857,"0.93","140"
"116116",E1200N4857,"0.85","25"
"116146",E1240N4857,"0.93","90"
"116147",E1241N4857,"0.93","100"
"116148",E1242N4857,"0.93","210"
"116149",E1243N4857,"0.93","365"
"116150",E1244N4857,"0.93","295"
"116151",E1245N4857,"0.93","345"
"116152",E1246N4857,"0.93","280"
"116153",E1247N4857,"0.91","90"
"116154",E1248N4857,"0.75","125"
"118633",E1234N4849,"0.90","65"
"118632",E1233N4849,"0.87","55"
"118631",E1232N4849,"0.91","35"
"118630",E1231N4849,"0.93","75"
"118629",E1230N4849,"0.93","165"
"118628",E1229N4849,"0.91","245"
"118627",E1228N4849,"0.86","335"
"118626",E1227N4849,"0.80","110"
"118625",E1226N4849,"0.77","255"
"118624",E1225N4849,"0.80","45"
"118623",E1224N4849,"0.80","20"
"118622",E1223N4849,"0.80","280"
"118621",E1222N4849,"0.80","295"
"118620",E1221N4849,"0.82","245"
"118619",E1220N4849,"0.87","250"
"118618",E1219N4849,"0.87","310"
"118617",E1218N4849,"0.87","345"
"118616",E1217N4849,"0.87","265"
"118615",E1216N4849,"0.92","135"
"118614",E1215N4849,"0.93","200"
"118613",E1214N4849,"0.93","270"
"118612",E1213N4849,"0.93","375"
"118611",E1212N4849,"0.93","300"
"118610",E1211N4849,"0.93","285"
"118609",E1210N4849,"0.93","345"
"118608",E1209N4849,"0.93","270"
"118607",E1208N4849,"0.93","90"
"118606",E1207N4849,"0.93","165"
"118605",E1206N4849,"0.93","115"
"118604",E1205N4849,"0.93","165"
"118603",E1204N4849,"0.93","90"
"118602",E1203N4849,"0.93","25"
"118601",E1202N4849,"0.93","10"
"118600",E1201N4849,"0.89","20"
"118599",E1200N4849,"0.80","5"
"118634",E1235N4849,"0.94","115"
"118635",E1236N4849,"0.95","60"
"118636",E1241N4849,"0.80","175"
"118637",E1242N4849,"0.80","155"
"118638",E1243N4849,"0.78","205"
"118639",E1244N4849,"0.75","185"
"118640",E1245N4849,"0.70","190"
"118641",E1246N4849,"0.62","70"
"118642",E1247N4849,"0.60","85"
"118643",E1248N4849,"0.60","160"
"118644",E1249N4849,"0.57","130"
"118645",E1250N4849,"0.53","140"
"118301",E1201N4850,"0.88","110"
"118302",E1202N4850,"0.93","80"
"118303",E1203N4850,"0.93","35"
"118304",E1204N4850,"0.93","185"
"118305",E1205N4850,"0.93","110"
"118306",E1206N4850,"0.93","295"
"118307",E1207N4850,"0.93","170"
"118308",E1208N4850,"0.93","135"
"118309",E1209N4850,"0.93","220"
"118310",E1210N4850,"0.93","290"
"118311",E1211N4850,"0.93","255"
"118312",E1212N4850,"0.93","185"
"118313",E1213N4850,"0.93","290"
"118314",E1214N4850,"0.93","345"
"118315",E1215N4850,"0.93","320"
"118316",E1216N4850,"0.93","235"
"118317",E1217N4850,"0.93","245"
"118318",E1218N4850,"0.88","365"
"118319",E1219N4850,"0.87","335"
"118320",E1220N4850,"0.87","255"
"118321",E1221N4850,"0.84","225"
"118322",E1222N4850,"0.80","70"
"118323",E1223N4850,"0.80","135"
"118324",E1224N4850,"0.80","15"
"118325",E1225N4850,"0.78","90"
"118326",E1226N4850,"0.75","285"
"118327",E1228N4850,"0.87","275"
"118328",E1229N4850,"0.90","185"
"118329",E1230N4850,"0.93","225"
"118330",E1231N4850,"0.93","220"
"118331",E1232N4850,"0.93","160"
"118332",E1233N4850,"0.89","105"
"118333",E1234N4850,"0.96","60"
"118334",E1235N4850,"1.00","40"
"118335",E1236N4850,"1.00","170"
"118336",E1237N4850,"1.00","105"
"118337",E1240N4850,"0.91","125"
"118338",E1241N4850,"0.79","100"
"118339",E1242N4850,"0.75","190"
"118340",E1243N4850,"0.73","65"
"118341",E1244N4850,"0.73","145"
"118342",E1245N4850,"0.73","105"
"118343",E1246N4850,"0.67","180"
"118344",E1247N4850,"0.60","145"
"118345",E1248N4850,"0.64","140"
"118346",E1249N4850,"0.58","125"
"118347",E1250N4850,"0.53","20"
"118348",E1251N4850,"0.53","30"
"118300",E1200N4850,"0.82","25"
"123966",E1201N4827,"0.80","40"
"123503",E1201N4829,"0.80","70"
"123262",E1201N4830,"0.80","115"
"122598",E1201N4833,"0.73","20"
"122813",E1201N4832,"0.77","480"
"123036",E1201N4831,"0.80","2"
"123504",E1202N4829,"0.80","55"
"123263",E1202N4830,"0.80","175"
"121963",E1202N4836,"0.82","5"
"122814",E1202N4832,"0.80","30"
"123037",E1202N4831,"0.80","25"
"123505",E1203N4829,"0.80","45"
"123264",E1203N4830,"0.82","50"
"123506",E1204N4829,"0.85","135"
"123265",E1204N4830,"0.87","110"
"123266",E1205N4830,"0.86","120"
"123267",E1206N4830,"0.80","45"
"122815",E1206N4832,"0.80","220"
"123038",E1206N4831,"0.81","340"
"123268",E1207N4830,"0.80","95"
"122816",E1207N4832,"0.80","95"
"123039",E1207N4831,"0.80","95"
"118008",E1203N4851,"0.93","240"
"118009",E1204N4851,"0.93","200"
"118010",E1205N4851,"0.93","180"
"118011",E1206N4851,"0.93","190"
"118012",E1207N4851,"0.93","320"
"118013",E1208N4851,"0.93","195"
"118014",E1209N4851,"0.93","330"
"118015",E1210N4851,"0.93","385"
"118016",E1211N4851,"0.93","290"
"118017",E1212N4851,"0.93","285"
"118018",E1213N4851,"0.93","200"
"118019",E1214N4851,"0.93","105"
"118020",E1215N4851,"0.93","250"
"118021",E1216N4851,"0.93","140"
"118022",E1217N4851,"0.93","250"
"118023",E1218N4851,"0.91","430"
"118024",E1219N4851,"0.87","350"
"118025",E1220N4851,"0.87","320"
"118026",E1221N4851,"0.86","250"
"118027",E1222N4851,"0.80","85"
"118028",E1223N4851,"0.80","45"
"118029",E1224N4851,"0.80","55"
"118030",E1225N4851,"0.80","145"
"118031",E1226N4851,"0.76","110"
"118032",E1227N4851,"0.82","60"
"118033",E1228N4851,"0.87","125"
"118034",E1229N4851,"0.90","210"
"118035",E1230N4851,"0.94","425"
"118036",E1231N4851,"0.97","290"
"118037",E1232N4851,"0.99","295"
"118038",E1233N4851,"0.96","165"
"118039",E1234N4851,"0.98","80"
"118040",E1235N4851,"1.00","165"
"118041",E1236N4851,"1.00","215"
"118042",E1237N4851,"1.00","275"
"118043",E1238N4851,"0.98","60"
"118044",E1239N4851,"0.93","95"
"118045",E1240N4851,"0.91","130"
"118046",E1241N4851,"0.86","165"
"118047",E1242N4851,"0.83","210"
"118048",E1243N4851,"0.79","150"
"118049",E1244N4851,"0.75","15"
"118050",E1245N4851,"0.73","125"
"118051",E1246N4851,"0.73","80"
"118052",E1247N4851,"0.70","160"
"118053",E1248N4851,"0.68","25"
"121505",E1220N4838,"0.79","265"
"121504",E1219N4838,"0.76","280"
"121503",E1218N4838,"0.73","190"
"121502",E1217N4838,"0.73","305"
"121501",E1216N4838,"0.77","240"
"121500",E1215N4838,"0.84","215"
"121499",E1214N4838,"0.84","185"
"121498",E1213N4838,"0.83","75"
"121240",E1220N4839,"0.80","210"
"121239",E1219N4839,"0.80","305"
"121238",E1218N4839,"0.79","245"
"119690",E1220N4845,"0.87","135"
"119689",E1219N4845,"0.89","135"
"119688",E1218N4845,"0.99","265"
"119687",E1217N4845,"1.00","225"
"119686",E1216N4845,"1.00","190"
"119685",E1215N4845,"1.00","80"
"119684",E1214N4845,"1.00","105"
"119683",E1213N4845,"0.97","2"
"119682",E1212N4845,"0.94","170"
"119681",E1211N4845,"0.98","205"
"119680",E1210N4845,"1.00","255"
"119679",E1209N4845,"1.00","195"
"119678",E1208N4845,"0.99","55"
"120718",E1208N4841,"0.81","10"
"120719",E1209N4841,"0.90","70"
"120720",E1210N4841,"0.97","75"
"120721",E1211N4841,"0.96","20"
"120722",E1212N4841,"0.94","170"
"120723",E1213N4841,"0.93","145"
"120724",E1214N4841,"0.89","225"
"120725",E1215N4841,"0.82","245"
"120726",E1216N4841,"0.80","200"
"120727",E1217N4841,"0.84","160"
"120728",E1218N4841,"0.86","185"
"120729",E1219N4841,"0.90","260"
"120730",E1220N4841,"0.93","35"
"120731",E1221N4841,"0.93","310"
"120732",E1222N4841,"0.88","95"
"120733",E1223N4841,"0.87","185"
"120734",E1224N4841,"0.87","195"
"120735",E1225N4841,"0.87","100"
"120736",E1226N4841,"0.87","35"
"120737",E1227N4841,"0.87","25"
"120738",E1228N4841,"0.81","250"
"120739",E1231N4841,"0.67","90"
"120740",E1232N4841,"0.69","100"
"120741",E1233N4841,"0.71","125"
"120742",E1234N4841,"0.73","65"
"120743",E1235N4841,"0.73","145"
"120744",E1236N4841,"0.73","95"
"120745",E1237N4841,"0.73","90"
"120746",E1238N4841,"0.71","25"
"122602",E1222N4833,"0.73","10"
"122601",E1221N4833,"0.79","5"
"122600",E1220N4833,"0.80","15"
"122599",E1219N4833,"0.80","10"
"122390",E1218N4834,"0.80","30"
"122389",E1215N4834,"0.80","245"
"122388",E1214N4834,"0.80","145"
"122387",E1213N4834,"0.80","30"
"122178",E1218N4835,"0.77","205"
"122177",E1217N4835,"0.80","35"
"122176",E1216N4835,"0.80","190"
"122175",E1215N4835,"0.80","40"
"122174",E1214N4835,"0.80","50"
"122173",E1213N4835,"0.80","165"
"121969",E1218N4836,"0.73","355"
"121968",E1217N4836,"0.76","55"
"121967",E1216N4836,"0.80","95"
"121966",E1215N4836,"0.80","125"
"121965",E1214N4836,"0.80","155"
"121964",E1213N4836,"0.80","95"
"121744",E1220N4837,"0.73","165"
"121743",E1219N4837,"0.73","110"
"121742",E1218N4837,"0.73","100"
"121741",E1217N4837,"0.73","45"
"121740",E1216N4837,"0.77","65"
"121739",E1215N4837,"0.80","65"
"121738",E1214N4837,"0.80","60"
"121737",E1213N4837,"0.80","55"
"122603",E1223N4833,"0.69","10"
"122604",E1226N4833,"0.67","155"
"122817",E1210N4832,"0.93","5"
"122818",E1221N4832,"0.79","10"
"122819",E1222N4832,"0.69","5"
"122820",E1226N4832,"0.67","50"
"122821",E1227N4832,"0.62","120"
"123040",E1209N4831,"0.89","185"
"123041",E1222N4831,"0.72","5"
"123269",E1217N4830,"0.67","10"
"123270",E1219N4830,"0.74","15"
"123271",E1220N4830,"0.80","10"
"123272",E1222N4830,"0.69","15"
"119414",E1209N4846,"0.98","185"
"119415",E1210N4846,"1.00","175"
"119416",E1211N4846,"1.00","285"
"119417",E1214N4846,"0.97","105"
"119418",E1215N4846,"1.00","285"
"119419",E1216N4846,"0.99","180"
"119420",E1217N4846,"0.96","45"
"119421",E1218N4846,"0.94","55"
"119422",E1219N4846,"0.91","220"
"119423",E1220N4846,"0.87","170"
"119424",E1221N4846,"0.86","235"
"119425",E1222N4846,"0.84","325"
"119426",E1223N4846,"0.81","220"
"119427",E1224N4846,"0.80","210"
"119428",E1225N4846,"0.80","10"
"119429",E1226N4846,"0.80","35"
"119430",E1227N4846,"0.81","35"
"119431",E1230N4846,"0.93","130"
"119432",E1231N4846,"0.93","65"
"119433",E1232N4846,"0.93","220"
"119434",E1233N4846,"0.93","155"
"119435",E1240N4846,"0.87","135"
"119436",E1241N4846,"0.82","100"
"119437",E1242N4846,"0.80","115"
"119438",E1243N4846,"0.78","85"
"119439",E1244N4846,"0.73","165"
"119440",E1245N4846,"0.71","200"
"119441",E1246N4846,"0.67","120"
"119148",E1209N4847,"0.94","265"
"119149",E1210N4847,"0.98","210"
"119150",E1211N4847,"1.00","115"
"119151",E1212N4847,"1.00","180"
"119152",E1213N4847,"1.00","140"
"119153",E1214N4847,"0.96","160"
"119154",E1215N4847,"0.91","305"
"119155",E1216N4847,"0.92","175"
"119156",E1217N4847,"0.93","185"
"119157",E1218N4847,"0.93","155"
"119158",E1219N4847,"0.93","315"
"119159",E1220N4847,"0.84","235"
"119160",E1221N4847,"0.80","220"
"119161",E1222N4847,"0.80","150"
"119162",E1223N4847,"0.80","170"
"119163",E1224N4847,"0.80","115"
"119164",E1226N4847,"0.80","120"
"119165",E1227N4847,"0.84","295"
"119166",E1230N4847,"0.93","855"
"119167",E1231N4847,"0.93","360"
"119168",E1232N4847,"0.93","80"
"119169",E1233N4847,"0.91","340"
"119170",E1240N4847,"0.87","10"
"119171",E1241N4847,"0.82","110"
"119172",E1242N4847,"0.80","70"
"119173",E1243N4847,"0.80","140"
"119174",E1244N4847,"0.76","135"
"119175",E1245N4847,"0.73","85"
"119176",E1246N4847,"0.67","160"
"119177",E1247N4847,"0.67","115"
"120976",E1212N4840,"0.92","145"
"120977",E1213N4840,"0.88","250"
"120978",E1214N4840,"0.81","245"
"120979",E1215N4840,"0.80","175"
"120980",E1216N4840,"0.80","180"
"120981",E1217N4840,"0.80","155"
"120982",E1218N4840,"0.81","80"
