fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_CALC_FMC_PETAR_AMENITIES_FMC_INDEX_NON_Num_65+rea,1COR_DEN_INDEX_WALK
"118905",E1235N4848,"10","10","10","0.93"
"118906",E1241N4848,"2","2","2","0.82"
"118907",E1242N4848,"20","20","20","0.80"
"118908",E1243N4848,"15","15","15","0.80"
"118909",E1244N4848,"25","25","25","0.80"
"118910",E1245N4848,"45","45","45","0.74"
"118911",E1246N4848,"10","10","10","0.67"
"118912",E1247N4848,"20","20","20","0.66"
"118913",E1248N4848,"10","10","10","0.61"
"116145",E1239N4857,"20","20","20","0.93"
"116144",E1238N4857,"2","2","2","0.93"
"116143",E1237N4857,"2","2","2","0.93"
"116142",E1236N4857,"20","20","20","0.96"
"116141",E1235N4857,"55","55","55","1.00"
"116140",E1234N4857,"20","20","20","1.00"
"116139",E1233N4857,"75","75","75","1.00"
"116138",E1232N4857,"25","25","25","1.00"
"116137",E1231N4857,"15","15","15","1.00"
"116136",E1228N4857,"10","10","10","0.98"
"116135",E1227N4857,"15","15","15","0.91"
"116134",E1226N4857,"25","25","25","0.87"
"116133",E1225N4857,"20","20","20","0.83"
"116132",E1224N4857,"2","2","2","0.83"
"116131",E1223N4857,"2","2","2","0.91"
"116130",E1222N4857,"35","35","35","0.93"
"116129",E1220N4857,"5","5","5","0.96"
"116128",E1219N4857,"10","10","10","1.00"
"116127",E1216N4857,"30","30","30","1.00"
"116126",E1215N4857,"35","35","35","0.98"
"115844",E1229N4858,"2","2","2","1.00"
"115843",E1228N4858,"10","10","10","0.97"
"115842",E1227N4858,"30","30","30","0.90"
"115841",E1226N4858,"15","15","15","0.87"
"115840",E1225N4858,"20","20","20","0.83"
"115839",E1224N4858,"2","2","2","0.86"
"115838",E1222N4858,"2","2","2","0.93"
"115837",E1220N4858,"25","25","25","0.95"
"115836",E1219N4858,"10","10","10","1.00"
"115835",E1216N4858,"10","10","10","1.00"
"115834",E1215N4858,"15","15","15","1.00"
"116125",E1214N4857,"50","50","50","0.94"
"115833",E1214N4858,"15","15","15","0.99"
"116124",E1213N4857,"15","15","15","0.93"
"116123",E1210N4857,"15","15","15","0.93"
"116122",E1209N4857,"15","15","15","0.93"
"116121",E1205N4857,"2","2","2","0.93"
"116120",E1204N4857,"10","10","10","0.93"
"116119",E1203N4857,"10","10","10","0.93"
"116118",E1202N4857,"25","25","25","0.93"
"116117",E1201N4857,"30","30","30","0.93"
"116116",E1200N4857,"2","2","2","0.85"
"116146",E1240N4857,"10","10","10","0.93"
"116147",E1241N4857,"10","10","10","0.93"
"116148",E1242N4857,"30","30","30","0.93"
"116149",E1243N4857,"35","35","35","0.93"
"116150",E1244N4857,"40","40","40","0.93"
"116151",E1245N4857,"20","20","20","0.93"
"116152",E1246N4857,"10","10","10","0.93"
"116153",E1247N4857,"2","2","2","0.91"
"116154",E1248N4857,"20","20","20","0.75"
"118633",E1234N4849,"15","15","15","0.90"
"118632",E1233N4849,"2","2","2","0.87"
"118631",E1232N4849,"10","10","10","0.91"
"118630",E1231N4849,"15","15","15","0.93"
"118629",E1230N4849,"25","25","25","0.93"
"118628",E1229N4849,"50","50","50","0.91"
"118627",E1228N4849,"40","40","40","0.86"
"118626",E1227N4849,"5","5","5","0.80"
"118625",E1226N4849,"20","20","20","0.77"
"118624",E1225N4849,"2","2","2","0.80"
"118623",E1224N4849,"2","2","2","0.80"
"118622",E1223N4849,"50","50","50","0.80"
"118621",E1222N4849,"40","40","40","0.80"
"118620",E1221N4849,"55","55","55","0.82"
"118619",E1220N4849,"25","25","25","0.87"
"118618",E1219N4849,"70","70","70","0.87"
"118617",E1218N4849,"40","40","40","0.87"
"118616",E1217N4849,"35","35","35","0.87"
"118615",E1216N4849,"15","15","15","0.92"
"118614",E1215N4849,"10","10","10","0.93"
"118613",E1214N4849,"30","30","30","0.93"
"118612",E1213N4849,"30","30","30","0.93"
"118611",E1212N4849,"15","15","15","0.93"
"118610",E1211N4849,"20","20","20","0.93"
"118609",E1210N4849,"10","10","10","0.93"
"118608",E1209N4849,"10","10","10","0.93"
"118607",E1208N4849,"45","45","45","0.93"
"118606",E1207N4849,"95","95","95","0.93"
"118605",E1206N4849,"85","85","85","0.93"
"118604",E1205N4849,"90","90","90","0.93"
"118603",E1204N4849,"45","45","45","0.93"
"118602",E1203N4849,"2","2","2","0.93"
"118601",E1202N4849,"2","2","2","0.93"
"118600",E1201N4849,"2","2","2","0.89"
"118599",E1200N4849,"2","2","2","0.80"
"118634",E1235N4849,"20","20","20","0.94"
"118635",E1236N4849,"10","10","10","0.95"
"118636",E1241N4849,"25","25","25","0.80"
"118637",E1242N4849,"10","10","10","0.80"
"118638",E1243N4849,"20","20","20","0.78"
"118639",E1244N4849,"30","30","30","0.75"
"118640",E1245N4849,"15","15","15","0.70"
"118641",E1246N4849,"5","5","5","0.62"
"118642",E1247N4849,"2","2","2","0.60"
"118643",E1248N4849,"30","30","30","0.60"
"118644",E1249N4849,"20","20","20","0.57"
"118645",E1250N4849,"2","2","2","0.53"
"118301",E1201N4850,"15","15","15","0.88"
"118302",E1202N4850,"10","10","10","0.93"
"118303",E1203N4850,"2","2","2","0.93"
"118304",E1204N4850,"60","60","60","0.93"
"118305",E1205N4850,"70","70","70","0.93"
"118306",E1206N4850,"50","50","50","0.93"
"118307",E1207N4850,"25","25","25","0.93"
"118308",E1208N4850,"35","35","35","0.93"
"118309",E1209N4850,"25","25","25","0.93"
"118310",E1210N4850,"15","15","15","0.93"
"118311",E1211N4850,"50","50","50","0.93"
"118312",E1212N4850,"25","25","25","0.93"
"118313",E1213N4850,"20","20","20","0.93"
"118314",E1214N4850,"25","25","25","0.93"
"118315",E1215N4850,"30","30","30","0.93"
"118316",E1216N4850,"20","20","20","0.93"
"118317",E1217N4850,"35","35","35","0.93"
"118318",E1218N4850,"30","30","30","0.88"
"118319",E1219N4850,"15","15","15","0.87"
"118320",E1220N4850,"30","30","30","0.87"
"118321",E1221N4850,"30","30","30","0.84"
"118322",E1222N4850,"15","15","15","0.80"
"118323",E1223N4850,"20","20","20","0.80"
"118324",E1224N4850,"2","2","2","0.80"
"118325",E1225N4850,"15","15","15","0.78"
"118326",E1226N4850,"5","5","5","0.75"
"118327",E1228N4850,"25","25","25","0.87"
"118328",E1229N4850,"15","15","15","0.90"
"118329",E1230N4850,"25","25","25","0.93"
"118330",E1231N4850,"25","25","25","0.93"
"118331",E1232N4850,"25","25","25","0.93"
"118332",E1233N4850,"5","5","5","0.89"
"118333",E1234N4850,"10","10","10","0.96"
"118334",E1235N4850,"2","2","2","1.00"
"118335",E1236N4850,"20","20","20","1.00"
"118336",E1237N4850,"20","20","20","1.00"
"118337",E1240N4850,"5","5","5","0.91"
"118338",E1241N4850,"20","20","20","0.79"
"118339",E1242N4850,"25","25","25","0.75"
"118340",E1243N4850,"2","2","2","0.73"
"118341",E1244N4850,"20","20","20","0.73"
"118342",E1245N4850,"15","15","15","0.73"
"118343",E1246N4850,"20","20","20","0.67"
"118344",E1247N4850,"15","15","15","0.60"
"118345",E1248N4850,"15","15","15","0.64"
"118346",E1249N4850,"15","15","15","0.58"
"118347",E1250N4850,"2","2","2","0.53"
"118348",E1251N4850,"2","2","2","0.53"
"118300",E1200N4850,"10","10","10","0.82"
"123966",E1201N4827,"10","10","10","0.80"
"123503",E1201N4829,"10","10","10","0.80"
"123262",E1201N4830,"30","30","30","0.80"
"122598",E1201N4833,"2","2","2","0.73"
"122813",E1201N4832,"25","25","25","0.77"
"123036",E1201N4831,"2","2","2","0.80"
"123504",E1202N4829,"10","10","10","0.80"
"123263",E1202N4830,"80","80","80","0.80"
"121963",E1202N4836,"2","2","2","0.82"
"122814",E1202N4832,"2","2","2","0.80"
"123037",E1202N4831,"20","20","20","0.80"
"123505",E1203N4829,"5","5","5","0.80"
"123264",E1203N4830,"15","15","15","0.82"
"123506",E1204N4829,"30","30","30","0.85"
"123265",E1204N4830,"50","50","50","0.87"
"123266",E1205N4830,"30","30","30","0.86"
"123267",E1206N4830,"15","15","15","0.80"
"122815",E1206N4832,"2","2","2","0.80"
"123038",E1206N4831,"2","2","2","0.81"
"123268",E1207N4830,"85","85","85","0.80"
"122816",E1207N4832,"2","2","2","0.80"
"123039",E1207N4831,"2","2","2","0.80"
"118008",E1203N4851,"40","40","40","0.93"
"118009",E1204N4851,"35","35","35","0.93"
"118010",E1205N4851,"15","15","15","0.93"
"118011",E1206N4851,"10","10","10","0.93"
"118012",E1207N4851,"25","25","25","0.93"
"118013",E1208N4851,"15","15","15","0.93"
"118014",E1209N4851,"30","30","30","0.93"
"118015",E1210N4851,"55","55","55","0.93"
"118016",E1211N4851,"25","25","25","0.93"
"118017",E1212N4851,"15","15","15","0.93"
"118018",E1213N4851,"25","25","25","0.93"
"118019",E1214N4851,"10","10","10","0.93"
"118020",E1215N4851,"25","25","25","0.93"
"118021",E1216N4851,"15","15","15","0.93"
"118022",E1217N4851,"20","20","20","0.93"
"118023",E1218N4851,"35","35","35","0.91"
"118024",E1219N4851,"35","35","35","0.87"
