fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea
"116146",E1240N4857,"10","10"
"116147",E1241N4857,"10","10"
"116148",E1242N4857,"30","30"
"116149",E1243N4857,"35","35"
"116150",E1244N4857,"40","40"
"116151",E1245N4857,"20","20"
"116152",E1246N4857,"10","10"
"116153",E1247N4857,"2","2"
"116154",E1248N4857,"20","20"
"118633",E1234N4849,"15","15"
"118632",E1233N4849,"2","2"
"118631",E1232N4849,"10","10"
"118630",E1231N4849,"15","15"
"118629",E1230N4849,"25","25"
"118628",E1229N4849,"50","50"
"118627",E1228N4849,"40","40"
"118626",E1227N4849,"5","5"
"118625",E1226N4849,"20","20"
"118624",E1225N4849,"2","2"
"118623",E1224N4849,"2","2"
"118622",E1223N4849,"50","50"
"118621",E1222N4849,"40","40"
"118620",E1221N4849,"55","55"
"118619",E1220N4849,"25","25"
"118618",E1219N4849,"70","70"
"118617",E1218N4849,"40","40"
"118616",E1217N4849,"35","35"
"118615",E1216N4849,"15","15"
"118614",E1215N4849,"10","10"
"118613",E1214N4849,"30","30"
"118612",E1213N4849,"30","30"
"118611",E1212N4849,"15","15"
"118610",E1211N4849,"20","20"
"118609",E1210N4849,"10","10"
"118608",E1209N4849,"10","10"
"118607",E1208N4849,"45","45"
"118606",E1207N4849,"95","95"
"118605",E1206N4849,"85","85"
"118604",E1205N4849,"90","90"
"118603",E1204N4849,"45","45"
"118602",E1203N4849,"2","2"
"118601",E1202N4849,"2","2"
"118600",E1201N4849,"2","2"
"118599",E1200N4849,"2","2"
"118634",E1235N4849,"20","20"
"118635",E1236N4849,"10","10"
"118636",E1241N4849,"25","25"
"118637",E1242N4849,"10","10"
"118638",E1243N4849,"20","20"
"118639",E1244N4849,"30","30"
"118640",E1245N4849,"15","15"
"118641",E1246N4849,"5","5"
"118642",E1247N4849,"2","2"
"118643",E1248N4849,"30","30"
"118644",E1249N4849,"20","20"
"118645",E1250N4849,"2","2"
"118301",E1201N4850,"15","15"
"118302",E1202N4850,"10","10"
"118303",E1203N4850,"2","2"
"118304",E1204N4850,"60","60"
"118305",E1205N4850,"70","70"
"118306",E1206N4850,"50","50"
"118307",E1207N4850,"25","25"
"118308",E1208N4850,"35","35"
"118309",E1209N4850,"25","25"
"118310",E1210N4850,"15","15"
"118311",E1211N4850,"50","50"
"118312",E1212N4850,"25","25"
"118313",E1213N4850,"20","20"
"118314",E1214N4850,"25","25"
"118315",E1215N4850,"30","30"
"118316",E1216N4850,"20","20"
"118317",E1217N4850,"35","35"
"118318",E1218N4850,"30","30"
"118319",E1219N4850,"15","15"
"118320",E1220N4850,"30","30"
"118321",E1221N4850,"30","30"
"118322",E1222N4850,"15","15"
"118323",E1223N4850,"20","20"
"118324",E1224N4850,"2","2"
"118325",E1225N4850,"15","15"
"118326",E1226N4850,"5","5"
"118327",E1228N4850,"25","25"
"118328",E1229N4850,"15","15"
"118329",E1230N4850,"25","25"
"118330",E1231N4850,"25","25"
"118331",E1232N4850,"25","25"
"118332",E1233N4850,"5","5"
"118333",E1234N4850,"10","10"
"118334",E1235N4850,"2","2"
"118335",E1236N4850,"20","20"
"118336",E1237N4850,"20","20"
"118337",E1240N4850,"5","5"
"118338",E1241N4850,"20","20"
"118339",E1242N4850,"25","25"
"118340",E1243N4850,"2","2"
"118341",E1244N4850,"20","20"
"118342",E1245N4850,"15","15"
"118343",E1246N4850,"20","20"
"118344",E1247N4850,"15","15"
"118345",E1248N4850,"15","15"
"118346",E1249N4850,"15","15"
"118347",E1250N4850,"2","2"
"118348",E1251N4850,"2","2"
"118300",E1200N4850,"10","10"
"123966",E1201N4827,"10","10"
"123503",E1201N4829,"10","10"
"123262",E1201N4830,"30","30"
"122598",E1201N4833,"2","2"
"122813",E1201N4832,"25","25"
"123036",E1201N4831,"2","2"
"123504",E1202N4829,"10","10"
"123263",E1202N4830,"80","80"
"121963",E1202N4836,"2","2"
"122814",E1202N4832,"2","2"
"123037",E1202N4831,"20","20"
"123505",E1203N4829,"5","5"
"123264",E1203N4830,"15","15"
"123506",E1204N4829,"30","30"
"123265",E1204N4830,"50","50"
"123266",E1205N4830,"30","30"
"123267",E1206N4830,"15","15"
"122815",E1206N4832,"2","2"
"123038",E1206N4831,"2","2"
"123268",E1207N4830,"85","85"
"122816",E1207N4832,"2","2"
"123039",E1207N4831,"2","2"
"118008",E1203N4851,"40","40"
"118009",E1204N4851,"35","35"
"118010",E1205N4851,"15","15"
"118011",E1206N4851,"10","10"
"118012",E1207N4851,"25","25"
"118013",E1208N4851,"15","15"
"118014",E1209N4851,"30","30"
"118015",E1210N4851,"55","55"
"118016",E1211N4851,"25","25"
"118017",E1212N4851,"15","15"
"118018",E1213N4851,"25","25"
"118019",E1214N4851,"10","10"
"118020",E1215N4851,"25","25"
"118021",E1216N4851,"15","15"
"118022",E1217N4851,"20","20"
"118023",E1218N4851,"35","35"
"118024",E1219N4851,"35","35"
"118025",E1220N4851,"40","40"
"118026",E1221N4851,"15","15"
"118027",E1222N4851,"10","10"
"118028",E1223N4851,"5","5"
